experiment,run_dir,confidential_field,test_r2,test_mse,used_in_loss
ev00_baseline_g11,outputs/tuning/ev00_baseline_g11/20260626_004557,metered_load_mw,0.9902780652046204,0.0101361637935042,True
ev00_baseline_g11,outputs/tuning/ev00_baseline_g11/20260626_004557,total_gen,0.9878752827644348,0.0127623220905661,True
ev00_baseline_g11,outputs/tuning/ev00_baseline_g11/20260626_004557,total_lmp_da,0.9791444540023804,0.0238188914954662,True
ev00_baseline_g11,outputs/tuning/ev00_baseline_g11/20260626_004557,da_as_total_mw_primary_reserve,0.952751636505127,0.0496968924999237,True
ev00_baseline_g11,outputs/tuning/ev00_baseline_g11/20260626_004557,da_as_total_mw_synchronized_reserve,0.9191293120384216,0.083398126065731,True
ev00_baseline_g11,outputs/tuning/ev00_baseline_g11/20260626_004557,da_as_total_mw_thirty_minutes_reserve,0.878448486328125,0.1263284385204315,True
ev00_baseline_g11,outputs/tuning/ev00_baseline_g11/20260626_004557,total_losses,0.8738666772842407,0.1258076727390289,True
ev00_baseline_g11,outputs/tuning/ev00_baseline_g11/20260626_004557,net_actual_interchange_mw,0.8553743958473206,0.1467537432909011,True
ev00_baseline_g11,outputs/tuning/ev00_baseline_g11/20260626_004557,gross_actual_interchange_mw,0.8111183047294617,0.1965492367744445,True
ev00_baseline_g11,outputs/tuning/ev00_baseline_g11/20260626_004557,marginal_loss_price_da,0.8047292828559875,0.1917831599712371,True
ev00_baseline_g11,outputs/tuning/ev00_baseline_g11/20260626_004557,congestion_price_rt,0.6668721437454224,0.3722511529922485,True
ev00_baseline_g11,outputs/tuning/ev00_baseline_g11/20260626_004557,congestion_price_da,0.6584951877593994,0.3704443871974945,True
ev01_edge_film,outputs/tuning/ev01_edge_film/20260626_004557,metered_load_mw,0.9910986423492432,0.0092806313186883,True
ev01_edge_film,outputs/tuning/ev01_edge_film/20260626_004557,total_gen,0.9891918897628784,0.0113765131682157,True
ev01_edge_film,outputs/tuning/ev01_edge_film/20260626_004557,total_lmp_da,0.984401524066925,0.0178148373961448,True
ev01_edge_film,outputs/tuning/ev01_edge_film/20260626_004557,da_as_total_mw_primary_reserve,0.951306700706482,0.0512166805565357,True
ev01_edge_film,outputs/tuning/ev01_edge_film/20260626_004557,da_as_total_mw_synchronized_reserve,0.918282151222229,0.0842717364430427,True
ev01_edge_film,outputs/tuning/ev01_edge_film/20260626_004557,da_as_total_mw_thirty_minutes_reserve,0.8774438500404358,0.1273725032806396,True
ev01_edge_film,outputs/tuning/ev01_edge_film/20260626_004557,total_losses,0.8751437664031982,0.1245338916778564,True
ev01_edge_film,outputs/tuning/ev01_edge_film/20260626_004557,net_actual_interchange_mw,0.8506273031234741,0.1515707075595855,True
ev01_edge_film,outputs/tuning/ev01_edge_film/20260626_004557,marginal_loss_price_da,0.7955081462860107,0.2008395940065384,True
ev01_edge_film,outputs/tuning/ev01_edge_film/20260626_004557,gross_actual_interchange_mw,0.7915362119674683,0.2169262617826461,True
ev01_edge_film,outputs/tuning/ev01_edge_film/20260626_004557,congestion_price_rt,0.6465853452682495,0.3949204981327057,True
ev01_edge_film,outputs/tuning/ev01_edge_film/20260626_004557,congestion_price_da,0.6294611692428589,0.4019388556480407,True
ev02_edge_film_dynamic_only,outputs/tuning/ev02_edge_film_dynamic_only/20260626_004557,metered_load_mw,0.9899188280105592,0.0105107305571436,True
ev02_edge_film_dynamic_only,outputs/tuning/ev02_edge_film_dynamic_only/20260626_004557,total_gen,0.9891547560691832,0.0114155719056725,True
ev02_edge_film_dynamic_only,outputs/tuning/ev02_edge_film_dynamic_only/20260626_004557,total_lmp_da,0.982172667980194,0.020360380411148,True
ev02_edge_film_dynamic_only,outputs/tuning/ev02_edge_film_dynamic_only/20260626_004557,da_as_total_mw_primary_reserve,0.9508253931999208,0.0517229102551937,True
ev02_edge_film_dynamic_only,outputs/tuning/ev02_edge_film_dynamic_only/20260626_004557,da_as_total_mw_synchronized_reserve,0.9167515635490416,0.0858501642942428,True
ev02_edge_film_dynamic_only,outputs/tuning/ev02_edge_film_dynamic_only/20260626_004557,da_as_total_mw_thirty_minutes_reserve,0.8595830202102661,0.1459352672100067,True
ev02_edge_film_dynamic_only,outputs/tuning/ev02_edge_film_dynamic_only/20260626_004557,net_actual_interchange_mw,0.8503022789955139,0.1519005000591278,True
ev02_edge_film_dynamic_only,outputs/tuning/ev02_edge_film_dynamic_only/20260626_004557,total_losses,0.8401896953582764,0.1593977361917495,True
ev02_edge_film_dynamic_only,outputs/tuning/ev02_edge_film_dynamic_only/20260626_004557,marginal_loss_price_da,0.7819046378135681,0.2142001688480377,True
ev02_edge_film_dynamic_only,outputs/tuning/ev02_edge_film_dynamic_only/20260626_004557,gross_actual_interchange_mw,0.772836446762085,0.2363850772380828,True
ev02_edge_film_dynamic_only,outputs/tuning/ev02_edge_film_dynamic_only/20260626_004557,congestion_price_rt,0.6576986908912659,0.3825019299983978,True
ev02_edge_film_dynamic_only,outputs/tuning/ev02_edge_film_dynamic_only/20260626_004557,congestion_price_da,0.6097772121429443,0.4232908189296722,True
ev03_edge_film_uniform_alpha,outputs/tuning/ev03_edge_film_uniform_alpha/20260626_004557,metered_load_mw,0.9908185601234436,0.0095726586878299,True
ev03_edge_film_uniform_alpha,outputs/tuning/ev03_edge_film_uniform_alpha/20260626_004557,total_gen,0.9874463081359864,0.0132138431072235,True
ev03_edge_film_uniform_alpha,outputs/tuning/ev03_edge_film_uniform_alpha/20260626_004557,total_lmp_da,0.9818348288536072,0.0207462292164564,True
ev03_edge_film_uniform_alpha,outputs/tuning/ev03_edge_film_uniform_alpha/20260626_004557,da_as_total_mw_primary_reserve,0.9513140320777892,0.0512089543044567,True
ev03_edge_film_uniform_alpha,outputs/tuning/ev03_edge_film_uniform_alpha/20260626_004557,da_as_total_mw_synchronized_reserve,0.9178311228752136,0.0847369059920311,True
