target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.20009647,0.20009695,0.19975612,0.20020428,0.19984616
gross_actual_interchange_mw,0.20000051,0.19999783,0.19999789,0.20000723,0.19999652
total_gen,0.19625843,0.19703203,0.20374851,0.20639528,0.19656573
metered_load_mw,0.19382647,0.1926329,0.20379196,0.21667635,0.19307224
total_losses,0.1839274,0.18391082,0.18760926,0.25994614,0.18460645
congestion_price_da,0.19808272,0.20700052,0.21839496,0.18978997,0.18673186
congestion_price_rt,0.19403854,0.20703337,0.20557705,0.19010182,0.20324923
marginal_loss_price_da,0.19677667,0.1990118,0.19997945,0.20446196,0.19977008
total_lmp_da,0.23250921,0.17311573,0.18974134,0.2151971,0.18943658
da_as_total_mw_primary_reserve,0.21477874,0.19347171,0.18625614,0.20584482,0.19964862
da_as_total_mw_synchronized_reserve,0.19385524,0.18765268,0.19168395,0.23133528,0.19547284
da_as_total_mw_thirty_minutes_reserve,0.20489472,0.19925304,0.20012158,0.19240016,0.20333052
