epoch,loss,test_r2
1,0.3790858765239041,0.7613737604756371
2,0.05129113777213173,0.7614885348009701
3,0.02478089891629268,0.9183717330371437
4,0.017773444589958887,0.911491335152991
5,0.01737356885893432,0.9208119281587827
6,0.015890113182246823,0.8690189568797582
7,0.011902970236356128,0.9451871525712647
8,0.014600967120838491,0.9547583377099018
9,0.011332673815899788,0.9304883559396433
10,0.01180785755971319,0.9301328481392683
11,0.009893309301590403,0.9226680788177356
12,0.010353416457483076,0.9355925442225237
13,0.012197824662814946,0.9463641386032857
14,0.012110782200342987,0.9501657519088933
15,0.01069026065514036,0.9509921534010494
16,0.009523740140338466,0.957282486662262
17,0.008307278660215335,0.9580546581440621
18,0.009344509415770775,0.9254826070462654
19,0.008271037120389067,0.9398386574123065
20,0.01012297838577601,0.9482514710224844
21,0.007867229804736838,0.925068261074073
22,0.012317604870114424,0.9166638572501049
23,0.008948847717397153,0.9490844043588784
24,0.00902458291806995,0.9432787360130245
25,0.0075614274709089975,0.9390866741118334
26,0.007913658720734592,0.9428357796289191
27,0.008130202401582508,0.9417454269178522
28,0.006916069806251488,0.935611161507802
29,0.007000795869607495,0.9522522720617868
30,0.0076333996924873625,0.9375517688402926
31,0.008771902124597329,0.9546815751324192
32,0.009057948205271336,0.9509402154168003
33,0.007520706669244592,0.9473982918628624
34,0.006760280319919053,0.9496000583654662
35,0.00842729093906678,0.953777493408554
36,0.006368920734347818,0.9547309409404603
37,0.007178916017520645,0.9397507023199764
38,0.007178872457990364,0.9410534117654302
39,0.0077730995096844625,0.9239566305774272
40,0.007899903828388751,0.9273684389067636
41,0.0076608693495086614,0.9113726103735073
42,0.006899613451178624,0.925351397088099
43,0.007887916692604894,0.9322402819978519
44,0.005605292625589186,0.9328799011061086
45,0.007462329343896887,0.9347556066158415
46,0.005844802897610621,0.9266697446984474
47,0.006488618929976742,0.9383817993284608
48,0.005935817348800565,0.9489507517153813
49,0.00625321290936304,0.9480279589137866
50,0.005393791703515809,0.9394011600179022
51,0.0053178149181924185,0.9312082885202422
52,0.008549695113699322,0.921304856360285
53,0.00623188560326758,0.9265353555130594
54,0.0056536642783512805,0.9299763592098252
55,0.004969647120191082,0.9338157357386525
56,0.006120665466676564,0.9316699115600583
57,0.006621723758592589,0.9417048251513891
58,0.0074106390400870475,0.9307398479096112
59,0.005150012548621659,0.9366623283067886
60,0.004510970992465678,0.9302157934007429
61,0.0047595518743236585,0.9337958343610778
62,0.007772365119308233,0.9341889436306474
63,0.004929919004202161,0.9436858409512636
64,0.0049234567907507016,0.9406158021688296
65,0.004926962501552279,0.934939612600442
66,0.007530802146416821,0.9180018856363011
67,0.005938537984440044,0.9294473288990774
68,0.005509304601409936,0.9289941716864184
69,0.005818049368112599,0.9282493423213247
70,0.005763121557392214,0.9233887174662523
71,0.005174097045830804,0.9114168280399865
72,0.004800022320320073,0.9040135721263365
73,0.0048327358635184975,0.9273053403017117
74,0.004822532383759068,0.9296839214716365
75,0.004647111537181624,0.9277367212993699
76,0.004914267333096837,0.9386313682239785
77,0.0039652666485268774,0.9213247943677756
78,0.004279412543953962,0.9415874322443685
79,0.004889629727025351,0.9223954604460336
80,0.004023552053612253,0.9217969920126857
81,0.0038683222645051673,0.9323628224885647
82,0.005143322405664752,0.917824606294523
83,0.004952574412436246,0.9264562104179742
84,0.006887468247840258,0.9186713777421572
85,0.004486906022199145,0.9178766628057204
86,0.0041147261766555235,0.923316382919587
87,0.004147547069664823,0.9196977454333239
88,0.004366869912759218,0.9199938492420007
89,0.0042110987732688725,0.9311298227981505
90,0.004532858446563624,0.9236051957631218
91,0.004355856163223109,0.927450723785495
92,0.0039595641880445015,0.926838794909876
93,0.004019062934213714,0.9291632700643847
94,0.005078958621733401,0.9266867249902044
95,0.00430102326979512,0.9126315109157264
96,0.0036648290282855294,0.9204904945964775
97,0.004039903408443751,0.9137398872547944
98,0.004071885226592081,0.9263617383540027
99,0.004020467142204512,0.924553681092438
100,0.006220780354477975,0.9300656964676033
101,0.0037060842283716485,0.9105965333412179
102,0.0042583122041467665,0.9082852953565809
103,0.004607042963255078,0.9276281258798124
104,0.00398215634501688,0.9072745305764035
105,0.003941369139840273,0.921839683420461
106,0.00428214411306531,0.9145296076502251
107,0.005513054678071987,0.9192621864965592
108,0.004061043267797457,0.9189019869995667
109,0.00507388953289621,0.9195886223683243
110,0.0048325877874817475,0.922960357985576
111,0.0036774725008960046,0.9175223856899215
112,0.003370910102595069,0.9264527703537978
113,0.0038491348708346146,0.9223817774598296
114,0.0038772743125127193,0.9218825073656571
115,0.0037409250803087674,0.9281497670611323
116,0.0035308542316907074,0.9106894066218547
117,0.003526540601745112,0.9140308066799495
118,0.003388327620838467,0.9205522532860986
119,0.0053873569747118375,0.9301354641043237
120,0.003656833482583024,0.9208614709644967
121,0.00347231047230105,0.9163442245314468
122,0.003452228097304634,0.9296874530018419
123,0.0034406819374440878,0.9222392523551586
124,0.004257901903394967,0.9247527682723065
125,0.003928285454650788,0.9103696403029966
126,0.004078990425786948,0.9170365995055828
127,0.003872097746286218,0.9101215878588664
128,0.004515127354348291,0.9199663441252942
129,0.006643019154132025,0.915307396191239
130,0.0038822601266528508,0.8880105670636057
131,0.003666605963052748,0.9152265059518776
132,0.003511189390611771,0.9117092850142572
