S,syn_struct,group
"(7, 23, 31, 32, 33, 39)",0.22993427515029907,fulltop
"(7, 10, 23, 32, 37, 40)",0.2028605043888092,fulltop
"(3, 11, 17, 34, 35, 36)",0.18863777816295624,fulltop
"(2, 3, 6, 7, 31, 34)",0.17614036798477173,fulltop
"(2, 3, 6, 7, 32, 34)",0.17529791593551636,fulltop
"(2, 3, 7, 8, 17, 34)",0.16941943764686584,fulltop
"(1, 13, 32, 38, 39, 40)",0.16299968957901,fulltop
"(1, 9, 12, 15, 16, 20)",0.16042236983776093,fulltop
"(2, 3, 6, 11, 34, 36)",0.15929391980171204,fulltop
"(23, 30, 32, 34, 39, 40)",0.15774530172348022,fulltop
"(2, 3, 7, 18, 34, 36)",0.15693676471710205,fulltop
"(5, 23, 30, 39, 40, 43)",0.15614552795886993,fulltop
