S,group,syn_struct,syn_paired,syn_paired_sd,syn_naive,syn_naive_sd,n_seed,c_star_last
"(2, 5, 34, 35, 36, 43)",uniform,,-0.003135224183400472,0.017766606319461583,0.009187479813893637,0.006655241831020525,3,7
"(2, 10, 14, 15, 38, 43)",uniform,,0.01879088083902995,0.00880265095133373,0.024296243985493977,0.0063208514962246895,3,0
"(3, 4, 8, 12, 19, 32)",uniform,,0.012248575687408447,0.009898823310701185,0.012594918409983316,0.004981533021780323,3,5
"(6, 10, 12, 21, 31, 38)",uniform,,-0.0006604790687561035,0.00885359362820796,0.01140191157658895,0.005276195276121511,3,5
"(8, 12, 22, 24, 30, 33)",uniform,,-0.0004819432894388835,0.00717647950428456,0.016700843969980877,0.0018447758618888649,3,2
"(14, 16, 26, 27, 35, 39)",uniform,,0.01680101950963338,0.02428062093023794,0.02204642693201701,0.01129809192541593,3,9
