target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,19,2.632568836212158,0.8940816416434715
gross_actual_interchange_mw,19,2.578373670578003,0.8756757021699023
total_gen,27,3.083864688873291,0.9356848698072789
metered_load_mw,30,3.0963640213012695,0.9103746927466131
total_losses,22,2.7077157497406006,0.8759878877751279
congestion_price_da,20,2.690124273300171,0.8979855433171732
congestion_price_rt,19,2.7341256141662598,0.9285726868553684
marginal_loss_price_da,23,2.7402172088623047,0.8739347037992505
total_lmp_da,29,3.1158502101898193,0.9253271371177195
da_as_total_mw_primary_reserve,18,2.2212629318237305,0.7685042333241372
da_as_total_mw_synchronized_reserve,15,1.7227879762649536,0.636172835925921
da_as_total_mw_thirty_minutes_reserve,24,2.7868285179138184,0.8768978332908557
