field,max_confidential_edge,mean_top3_confidential_edge,anchor_score,anchor_role,anchor_rank
forecast_load_mw_latest_available,0.9746780395507812,0.8117815852165222,0.9258091032505035,high,1
system_energy_price_da,0.9795014262199402,0.6816303133964539,0.8901400923728942,high,2
forecast_load_mw_day_ahead,0.9281774163246155,0.7715260982513428,0.8811820209026336,high,3
gen_fuel_nuclear_pct,0.761864423751831,0.6933705806732178,0.741316270828247,high,4
total_lmp_rt,0.7664481997489929,0.6230564117431641,0.7234306633472442,high,5
gen_fuel_gas_mw,0.7534358501434326,0.636943519115448,0.7184881508350371,high,6
marginal_loss_price_rt,0.7425471544265747,0.6096360087394714,0.7026738107204437,high,7
da_as_as_req_mw_synchronized_reserve,0.7436321377754211,0.5951536297798157,0.6990885853767395,high,8
da_as_as_req_mw_primary_reserve,0.7402665615081787,0.5929911732673645,0.6960839450359344,high,9
da_as_as_req_mw_thirty_minutes_reserve,0.6986002922058105,0.5762110352516174,0.6618835151195526,high,10
total_pjm_self_sched_reg,0.11704099923372269,0.10703960061073303,0.11404057964682578,low,11
da_as_ss_mw_synchronized_reserve,0.14142408967018127,0.11109960824251175,0.13232674524188043,low,12
net_inadv_interchange_mw,0.14186906814575195,0.12565647065639496,0.13700528889894484,low,13
da_as_ss_mw_primary_reserve,0.1542629450559616,0.11066965013742447,0.14118495658040045,low,14
da_as_ss_mw_thirty_minutes_reserve,0.16059258580207825,0.118768610060215,0.14804539307951925,low,15
