字段,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,Γ1,Γ2,Γ3,Γ_MCI,K=2 见证,MCI 见证
P_g (unit 313 output),0.06450564,0.21464619,0.21464619,0.21464619,0.21464619,0.21464619,0.21464619,0.21464619,0.21464619,0.21464619,0.21464619,0.15014055,0.15014055,0.15014055,0.15014055,LMP_g (bus 313),LMP_g (bus 313)
LMP_g (bus 313),0.0,0.15014055,0.15014055,0.15014055,0.15014055,0.15014055,0.15014055,0.15014055,0.15014055,0.15014055,0.15014055,0.15014055,0.15014055,0.15014055,0.15014055,P_g (unit 313 output),P_g (unit 313 output)
LMP_near (bus 306),0.0,0.1268196,0.14129807,0.14129807,0.14129807,0.14129807,0.14129807,0.14129807,0.14129807,0.14129807,0.14129807,0.1268196,0.14129807,0.14129807,0.14129807,P_g (unit 313 output) + Congestion C6,P_g (unit 313 output) + Congestion C6
"LMP_far (bus 303, behind C6)",0.0,0.09873295,0.09873295,0.09873295,0.09873295,0.09873295,0.09873295,0.09873295,0.09873295,0.09873295,0.09873295,0.09873295,0.09873295,0.09873295,0.09873295,P_g (unit 313 output),P_g (unit 313 output)
LMP_area2 (bus 223),0.0,0.10750872,0.11515319,0.11515319,0.11515319,0.11515319,0.11515319,0.11515319,0.11515319,0.11515319,0.11515319,0.10750872,0.11515319,0.11515319,0.11515319,P_g (unit 313 output) + Congestion C6,P_g (unit 313 output) + Congestion C6
System load,0.0,0.020242095,0.053340435,0.07874638,0.09481281,0.09481281,0.09481281,0.09481281,0.09481281,0.09481281,0.09481281,0.020242095,0.053340435,0.07874638,0.09481281,P_g (unit 313 output) + PV available,P_g (unit 313 output) + Wind available + PV available + Congestion C6
Area-3 load,0.0002232194,0.01121372,0.028609097,0.040064692,0.04913652,0.04913652,0.04913652,0.04913652,0.04913652,0.04913652,0.04913652,0.0109905,0.028385878,0.039841473,0.0489133,P_g (unit 313 output) + PV available,P_g (unit 313 output) + Wind available + PV available + Congestion C6
Wind available,0.0,0.0041073044,0.019649982,0.029212117,0.03024304,0.030396402,0.030396402,0.030396402,0.030396402,0.030396402,0.030396402,0.0041073044,0.019649982,0.029212117,0.030396402,P_g (unit 313 output) + System load,P_g (unit 313 output) + System load + Area-3 load + PV available + Congestion C6
PV available,0.0,0.0,0.03309834,0.042660475,0.050395608,0.050395608,0.050395608,0.050395608,0.050395608,0.050395608,0.050395608,0.0,0.03309834,0.042660475,0.050395608,P_g (unit 313 output) + System load,P_g (unit 313 output) + System load + Wind available + Congestion C6
Congestion C6,0.0,0.0051546097,0.019633085,0.019633085,0.02439034,0.02439034,0.02439034,0.02439034,0.02439034,0.02439034,0.02439034,0.0051546097,0.019633085,0.019633085,0.02439034,P_g (unit 313 output) + LMP_near (bus 306),P_g (unit 313 output) + LMP_area2 (bus 223) + System load + PV available
P_comp (unit 316 output),0.0,0.08619976,0.08619976,0.08619976,0.08619976,0.08619976,0.08619976,0.08619976,0.08619976,0.08619976,0.08619976,0.08619976,0.08619976,0.08619976,0.08619976,P_g (unit 313 output),P_g (unit 313 output)
