背景,Δ_P,V背景,V合并
∅,0.06450564,0.0,0.06450564
LMP_g (bus 313),0.21464619,0.0,0.21464619
LMP_near (bus 306),0.19132523,0.0,0.19132523
"LMP_far (bus 303, behind C6)",0.16323858,0.0,0.16323858
LMP_area2 (bus 223),0.17201436,0.0,0.17201436
System load,0.08474773,0.0,0.08474773
Area-3 load,0.07549614,0.0002232193946838379,0.07571936
Wind available,0.06831181,0.0,0.06831181
PV available,0.06450564,0.0,0.06450564
Congestion C6,0.06966025,0.0,0.06966025
P_comp (unit 316 output),0.1507054,0.0,0.1507054
