目标,字段,pearson,spearman,mi,dcor,loco,graph,perm,sage,pair_tree_r2,M0,M2,MCI
Y_markup,P_g (unit 313 output),0.02268997858933718,0.028907638428520514,0.028515680312088065,0.22505454967282676,0.20705240702217076,0.08210602010018664,0.8569263760788989,0.20759957849477598,0.05557361117559856,0.06450564,0.21464619,0.21464619
Y_markup,LMP_g (bus 313),0.0002401823593257386,0.00043828385412190117,0.038909700297690364,0.02743029222804013,0.018440118982147036,0.04731692340057102,0.5675179071435883,0.00281689740517325,0.0,0.0,0.15014055,0.15014055
Y_markup,LMP_near (bus 306),0.00020918459242297543,0.00034148285401512554,0.0021817296371100525,0.028465506349860857,0.005983862770446269,0.04723672197807758,0.0005338714085122654,0.000626964263645872,0.0,0.0,0.14129807,0.14129807
Y_markup,"LMP_far (bus 303, behind C6)",2.7915618577185838e-05,2.2531455837816744e-05,0.007198854035638913,0.028422230500683595,0.002901401056874753,0.024138021104681474,0.0007308996208435614,-0.0008183355417780008,0.0,0.0,0.09873295,0.09873295
Y_markup,LMP_area2 (bus 223),0.0001917099630717263,0.00025973494574815277,0.0030900364334289776,0.03408734484306855,0.001852104142978983,0.03949561733134096,0.0018074790556595667,-0.0003335880990323013,0.0,0.0,0.11515319,0.11515319
Y_markup,System load,9.440752374451251e-06,0.00012441478745641994,0.007175699363171972,0.030177180900731664,0.007295899826256003,0.01228277471430465,0.012503182768282595,0.004967526661088457,0.0,0.0,0.053340435,0.09481281
Y_markup,Area-3 load,0.0007924960014558524,0.0010755049498472335,0.0,0.026474988113510855,0.009623702675861878,0.006948362565638279,0.003931552236486335,0.0002873103306530224,0.0,0.0002232194,0.028609097,0.04913652
Y_markup,Wind available,0.00013989511789701533,0.00022959523913181477,0.011010581365422212,0.03420513743990675,-0.001374703181696968,0.008449481198053225,0.0023636540937172824,-0.0036911554887988085,0.0,0.0,0.019649982,0.030396402
Y_markup,PV available,0.0007042042677006812,0.00030623020275564403,0.0007515493349261604,0.03211948083219995,0.003908135868858853,0.00979553125845414,0.003068468958244952,0.000873528094314536,0.0,0.0,0.03309834,0.050395608
Y_markup,Congestion C6,0.0002292894924950359,0.00023274298224615572,0.0017549821076385808,0.028749757798578943,-0.005359822380229029,0.00456890712826867,0.00016455350902004894,7.439348280364096e-05,0.0,0.0,0.019633085,0.02439034
Y_markup,P_comp (unit 316 output),6.024219620872996e-05,7.802572369672786e-05,0.0,0.03672447958318142,0.003825963750311745,0.025910863595251556,0.0013736814748937843,0.00021814866403081315,0.0,0.0,0.08619976,0.08619976
