field,anchor_role,anchor_score,q_label,raw_probe_q_label,max_r2,top3_mean_r2,use_in_gnn,label_source
forecast_load_mw_latest_available,high,0.9258091032505035,0.9143514287758215,0.9143514287758215,0.9867395213270111,0.7454458794897126,True,high_probe_q
system_energy_price_da,high,0.8901400923728942,0.8312528719232097,0.8312528719232097,0.9570345805962792,0.5377622183527148,True,high_probe_q
gen_fuel_gas_mw,high,0.7184881508350371,0.7339229235463638,0.7339229235463638,0.8103471426722688,0.5555997455859191,True,high_probe_q
forecast_load_mw_day_ahead,high,0.8811820209026336,0.6997977253433816,0.6997977253433816,0.7523075958415651,0.5772746941809533,True,high_probe_q
gen_fuel_nuclear_pct,high,0.741316270828247,0.6543186986745431,0.6543186986745431,0.7068527996414389,0.5317391297517863,True,high_probe_q
total_lmp_rt,high,0.7234306633472442,0.4223033257987586,0.4223033257987586,0.455552286167406,0.3447224182719148,True,high_probe_q
da_as_as_req_mw_thirty_minutes_reserve,high,0.6618835151195526,0.4171480403089329,0.4171480403089329,0.4724569530228709,0.2880939106430776,True,high_probe_q
da_as_as_req_mw_synchronized_reserve,high,0.6990885853767395,0.4119665981269871,0.4119665981269871,0.4565954162269985,0.30783268922696067,True,high_probe_q
da_as_as_req_mw_primary_reserve,high,0.6960839450359344,0.41003218036120803,0.41003218036120803,0.4570519715321708,0.30031933429562824,True,high_probe_q
marginal_loss_price_rt,high,0.7026738107204437,0.35812063666127547,0.35812063666127547,0.3873086267475988,0.29001532645985456,True,high_probe_q
da_as_ss_mw_synchronized_reserve,low,0.13232674524188043,0.049907320678233225,0.049907320678233225,0.05880551025032188,0.029144878343359697,True,low_probe_confirmed
total_pjm_self_sched_reg,low,0.11404057964682578,0.04843496568773613,0.04843496568773613,0.060543707109670164,0.020181235703223388,True,low_probe_confirmed
da_as_ss_mw_thirty_minutes_reserve,low,0.14804539307951925,0.04351098983821889,0.04351098983821889,0.05120635630757642,0.02555513474305134,True,low_probe_confirmed
da_as_ss_mw_primary_reserve,low,0.14118495658040045,0.0413018154465803,0.0413018154465803,0.04820285866247487,0.025199381276159654,True,low_probe_confirmed
net_inadv_interchange_mw,low,0.13700528889894484,0.008519049931282285,0.008519049931282285,0.009846043456578801,0.005422731705590415,True,low_probe_confirmed
