confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.9913122,0.9962878493933236,-0.004975617
total_gen,0.9910631,0.99832719588513,-0.0072640777
total_lmp_da,0.9791166,0.99047564583207,-0.011359036
da_as_total_mw_primary_reserve,0.9506599,0.953601669814596,-0.0029417872
da_as_total_mw_synchronized_reserve,0.9129099,0.920000100798808,-0.0070901513
net_actual_interchange_mw,0.8545295,0.9295984627394396,-0.07506895
da_as_total_mw_thirty_minutes_reserve,0.8461661,0.9141437178213236,-0.06797767
total_losses,0.83711296,0.9334742413917716,-0.09636128
gross_actual_interchange_mw,0.7766525,0.8759973140166133,-0.09934479
marginal_loss_price_da,0.76908576,0.8816090434068973,-0.11252326
congestion_price_rt,0.6469413,0.6702083206524372,-0.02326703
congestion_price_da,0.57987726,0.6602494811248918,-0.080372214
