target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.19981575,0.19981867,0.20011573,0.20043582,0.19981402
gross_actual_interchange_mw,0.1992933,0.19921908,0.20076932,0.20098293,0.19973533
total_gen,0.19933183,0.20035255,0.20256718,0.19786875,0.19987975
metered_load_mw,0.19884302,0.19774044,0.20157427,0.2037599,0.19808236
total_losses,0.19571407,0.20141436,0.20053506,0.19935937,0.2029771
congestion_price_da,0.2012751,0.19866338,0.19990647,0.1971337,0.20302142
congestion_price_rt,0.18430954,0.18577386,0.188836,0.24516745,0.19591318
marginal_loss_price_da,0.20801185,0.19835074,0.19725989,0.19373153,0.20264597
total_lmp_da,0.19926496,0.19763052,0.20187975,0.20222366,0.19900104
da_as_total_mw_primary_reserve,0.20282267,0.19906,0.20131502,0.19685034,0.19995199
da_as_total_mw_synchronized_reserve,0.19148967,0.18914007,0.18916717,0.23610161,0.19410153
da_as_total_mw_thirty_minutes_reserve,0.200832,0.19749078,0.20024101,0.20123065,0.20020552
