field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.8634216785430908,-0.06617678419634876
gross_actual_interchange_mw,0.8759973140166133,0.7918587327003479,-0.08413858131626539
total_gen,0.99832719588513,0.9885179400444031,-0.009809255840726894
metered_load_mw,0.9962878493933236,0.990700900554657,-0.005586948838666617
total_losses,0.9334742413917716,0.8805212378501892,-0.05295300354158239
congestion_price_da,0.6602494811248918,0.6732138991355896,0.012964418010697809
congestion_price_rt,0.6702083206524372,0.6638534069061279,-0.006354913746309254
marginal_loss_price_da,0.8816090434068973,0.8125969171524048,-0.06901212625449249
total_lmp_da,0.99047564583207,0.9813812375068665,-0.009094408325203585
da_as_total_mw_primary_reserve,0.953601669814596,0.9509455561637878,-0.0026561136508082006
da_as_total_mw_synchronized_reserve,0.920000100798808,0.9190999269485474,-0.0009001738502606438
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.8790307641029358,-0.03511295371838785
