target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,9,2.1826000213623047,0.9933440777402714
gross_actual_interchange_mw,11,2.283386468887329,0.9522461196658483
total_gen,28,3.15685772895813,0.9473781454044504
metered_load_mw,27,3.134782314300537,0.9511339431374695
total_losses,19,2.898515224456787,0.9844032241677992
congestion_price_da,8,2.0759220123291016,0.9983074641531442
congestion_price_rt,11,2.3435566425323486,0.9773390310734429
marginal_loss_price_da,21,3.0216691493988037,0.9924936377405357
total_lmp_da,32,3.392133951187134,0.9787629658817526
da_as_total_mw_primary_reserve,11,2.278639316558838,0.9502664033778424
da_as_total_mw_synchronized_reserve,8,1.9275212287902832,0.9269417726613143
da_as_total_mw_thirty_minutes_reserve,18,2.8687949180603027,0.9925349257316411
