k,retrain_dnn,retrain_gcn,approx_masked,approx_zeromask
1,0.3535785377025604,0.33493590354919434,0.33522096276283264,0.042447637766599655
2,0.4724125862121582,0.4520128071308136,0.41791975498199463,0.11350651830434799
3,0.5763949751853943,0.5954058766365051,0.532379686832428,0.23033519089221954
4,0.6290525197982788,0.6918556094169617,0.5985060334205627,0.28595539927482605
6,0.7274574637413025,0.7664976119995117,0.6877126097679138,0.36823904514312744
8,0.7747688293457031,0.8006751537322998,0.7289184927940369,0.4913989305496216
12,0.8017473816871643,0.8190101981163025,0.7464208006858826,0.6415319442749023
16,0.844662606716156,0.8542637825012207,0.7820597290992737,0.7523183822631836
24,0.8662013411521912,0.8544524312019348,0.8167076110839844,0.8332911133766174
32,0.8756859302520752,0.8662639260292053,0.8292097449302673,0.8671957850456238
44,0.8658638000488281,0.8618271946907043,0.8301070332527161,0.874600350856781
