target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.26144165,0.14565404,0.15837649,0.24097781,0.19355002
gross_actual_interchange_mw,0.04046874,0.04193459,0.047100767,0.83274895,0.03774699
total_gen,0.06994611,0.081551135,0.12163461,0.65265334,0.07421484
metered_load_mw,0.06851005,0.06435551,0.10818957,0.69410354,0.06484136
total_losses,0.17241201,0.24022019,0.108876444,0.3558208,0.122670546
congestion_price_da,0.16679704,0.19708122,0.17230837,0.27832577,0.18548754
congestion_price_rt,0.07910283,0.087586805,0.08317931,0.6192408,0.13089016
marginal_loss_price_da,0.1420409,0.19005002,0.1679435,0.10155841,0.39840722
total_lmp_da,0.23744628,0.060742397,0.105383895,0.52004665,0.07638075
da_as_total_mw_primary_reserve,0.64830494,0.079688475,0.08454148,0.09482283,0.09264227
da_as_total_mw_synchronized_reserve,0.066081256,0.062120765,0.07089934,0.7332265,0.067672215
da_as_total_mw_thirty_minutes_reserve,0.15024711,0.3084698,0.19343454,0.18829623,0.15955234
