target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.19990213,0.19945398,0.19996037,0.20026577,0.20041776
gross_actual_interchange_mw,0.19911826,0.19945651,0.20009214,0.20172057,0.19961248
total_gen,0.22181952,0.2018866,0.22194856,0.14970876,0.2046366
metered_load_mw,0.18699048,0.17084904,0.20783877,0.26335624,0.17096545
total_losses,0.21267086,0.18463166,0.18916646,0.20898043,0.20455056
congestion_price_da,0.20950773,0.20229147,0.19720274,0.16669653,0.2243015
congestion_price_rt,0.16927761,0.1741851,0.1644596,0.2834844,0.20859337
marginal_loss_price_da,0.2948306,0.17805868,0.16346085,0.15121923,0.21243066
total_lmp_da,0.5324122,0.096273534,0.12120032,0.12777905,0.12233492
da_as_total_mw_primary_reserve,0.18958887,0.16167268,0.15884613,0.29532602,0.1945663
da_as_total_mw_synchronized_reserve,0.16671042,0.16184165,0.16026756,0.34359282,0.16758747
da_as_total_mw_thirty_minutes_reserve,0.19339818,0.19979252,0.20255022,0.1989869,0.20527224
