variant,seed,n_params,r2_full,epochs_run,epochs_budget,K0_mae,K0_rho,K10_mae,K10_rho,K50_mae,K50_rho,K200_mae,K200_rho,K0_mae_1-2,K0_mae_3-4,K0_mae_5-8,K0_mae_9-16,K0_mae_17-32,K0_mae_33-44,n_seed,K0_mae_sd,K0_rho_sd,closure,verdict
MLP,1.0,157452.0,0.8335828979810079,372.6666666666667,400.0,0.05948460578615896,0.9693442162825686,0.04303049205792401,0.9810675135041889,0.02676141401148757,0.9896392848429668,0.015504641186296771,0.9956690700467723,0.04402772228585349,0.08591260961615121,0.10706664406590992,0.12335493150684569,0.07861889517969556,0.04046880006790161,3,0.0018020643309037679,0.002249314179802456,1.0058850878098646,有戏
D_bypass,1.0,291525.0,0.8394816716512045,500.0,500.0,0.06526638448103901,0.9688532349194636,0.047947871852277425,0.978445583616815,0.030745059735043472,0.9873076512021769,0.019302339769492225,0.993433501188787,0.04845113999976052,0.09598327001445313,0.11921855045689478,0.1301464036107063,0.07804774873786503,0.03457833760314518,3,0.0007447939684013181,0.0011578098869031047,0.8479129923213385,有戏
B6_all@A1,1.0,167089.0,0.8212868173917135,500.0,500.0,0.0851023054465828,0.932331826749139,0.07007548212584841,0.9390612015497667,0.05256170309655625,0.9449364704475798,0.0424516359443928,0.9503534897754676,0.0641661138402091,0.12297948254033542,0.14138599567943147,0.18466035442219841,0.09534475753704708,0.04850026253196928,3,0.0027791806243472783,0.0019039802994026372,0.3059479386179562,放弃
B2_enc,1.0,415264.0,0.7762404084205627,400.0,400.0,0.08538208000080368,0.9282168173812391,0.06179879482644329,0.9470266027341094,0.045128006553219586,0.9518582085427495,0.037919196578082015,0.9538423693757233,0.06262720410691365,0.12020948151938426,0.14969630274507736,0.18763275080256991,0.12105306585629781,0.08981312215328217,3,0.0015136304510863412,0.0008750813235608231,0.29830382511465364,放弃
B4_train,0.5,398752.0,0.7683441042900085,500.0,500.0,0.0870729114374937,0.9285210044363226,0.06363515041503809,0.9457355233487275,0.04613285561528706,0.9522771728829029,0.03931416090823671,0.9539561529942274,0.06366531994938848,0.12292062147305563,0.1470707649985949,0.19205392599105836,0.12463297098875045,0.09690758660435676,2,0.0016154109349990505,5.8596568378875845e-05,0.25210624487722133,放弃
B6_all,1.0,199865.0,0.8047095338503519,500.0,500.0,0.0884045286369875,0.9278119925796625,0.07364524725679616,0.9372544120522514,0.05556097614079361,0.9441159338243419,0.04516193550132588,0.9503333905227652,0.06606224187877442,0.1266583335768973,0.1520768226848708,0.191988409558932,0.10656670480966568,0.06370377507474688,3,0.00178582868183162,0.005106905397474355,0.21572326128449446,放弃
B0_temp,0.5,398752.0,0.7600124180316925,397.5,400.0,0.0897846117603093,0.9254020828112866,0.066975547955726,0.9450542618769664,0.049476550283720444,0.9516286010198015,0.04083743799231983,0.9538241423721157,0.0654243989686171,0.12507019595553479,0.1585436599949996,0.19735947946707408,0.13915930340687435,0.10611124833424887,2,0.0042737364635771664,0.003315313010566379,0.1780160721226966,放弃
A3_gat_dynamic,0.5,398752.0,0.7515015304088593,328.0,400.0,0.09072689105663606,0.9289555095082223,0.06730489318090446,0.944370161612385,0.04918777538611602,0.951650480521702,0.04141422450643303,0.9535429534747236,0.06505642521381376,0.12818408814760354,0.15825620318452516,0.2029523196319739,0.14019669791062672,0.11370913982391356,2,0.007021875820957811,0.0007487670575427338,0.1522707361574846,放弃
B3_deep,0.5,122043.0,0.7625263035297394,382.0,400.0,0.09189695619084509,0.9263754738482313,0.0666965032957633,0.9457802295080313,0.04974610074825093,0.9517123029523846,0.0408678497558116,0.9534309477368765,0.06791656724611916,0.12817742326893866,0.15816221237182618,0.19333884716033933,0.13535073573390644,0.10292889550328255,2,0.0013414702725129614,0.005631929840711753,0.12030174341953295,放弃
B1_alpha,0.5,401397.0,0.7518234550952911,328.0,400.0,0.09193749040012231,0.9255839533650236,0.06802831431961101,0.9448906113135095,0.04935647275569878,0.9516103930691907,0.04150006364142228,0.9522289234509824,0.06636235173543292,0.12987001987699515,0.15677575667699178,0.20335619275768596,0.13914015119274456,0.1133580210308234,2,0.005144675869477299,0.004961315078300126,0.11919425136277843,放弃
B7_layered,0.5,596718.0,0.7773312628269196,400.0,400.0,0.09212545531151056,0.9212106300777109,0.06600523100261357,0.9463433411972877,0.04719955352483263,0.9514827682575617,0.039542518959533535,0.9536015642151028,0.06895751044154166,0.12931919814302373,0.15393635804454486,0.19678944647312163,0.12100431298216184,0.08915540004769962,2,0.0037937710677138597,0.003917780809093291,0.11405859804615943,放弃
A1_gcn_dynamic,0.5,333212.0,0.7765818536281586,400.0,400.0,0.09375237961584945,0.9193776841236065,0.06481691887964654,0.9466611330538999,0.04592680794938566,0.9523956827155439,0.03667535937301397,0.9537291381423402,0.0696844871342182,0.13171900952091584,0.16392348210016888,0.1961464174091816,0.1305192691584428,0.09126471082369486,2,0.001685080344160659,0.0075444126374158505,0.06960711432105315,放弃
A4_gat_static,0.5,397720.0,0.7433413863182068,320.0,400.0,0.09500185243924056,0.9195357460317273,0.06979901032197697,0.9442635749955477,0.050764122672139485,0.9511961090244745,0.042329381344534206,0.9534555706214812,0.06878282691041628,0.13303331889880773,0.16709638088941575,0.20458993588884672,0.14679046670595805,0.12147901331384978,2,0.006176714106877232,0.00773870643010281,0.0354685125890557,放弃
