sid,group,size,K,conf,est
p00_06,pair,2,200,total_gen,0.7753961086273193
p00_06,pair,2,200,metered_load_mw,0.7560430765151978
p00_06,pair,2,200,total_losses,0.5447300672531128
p00_06,pair,2,200,congestion_price_da,0.10999006032943726
p00_06,pair,2,200,congestion_price_rt,0.05013859272003174
p00_06,pair,2,200,marginal_loss_price_da,0.36160534620285034
p00_06,pair,2,200,total_lmp_da,0.4293784499168396
p00_06,pair,2,200,da_as_total_mw_primary_reserve,0.12911683320999146
p00_06,pair,2,200,da_as_total_mw_synchronized_reserve,0.1210319995880127
p00_06,pair,2,200,da_as_total_mw_thirty_minutes_reserve,0.24079293012619019
p00_09,pair,2,0,net_actual_interchange_mw,0.0
p00_09,pair,2,0,gross_actual_interchange_mw,0.128351092338562
p00_09,pair,2,0,total_gen,0.7563037276268005
p00_09,pair,2,0,metered_load_mw,0.7381742596626282
p00_09,pair,2,0,total_losses,0.6171513199806213
p00_09,pair,2,0,congestion_price_da,0.08637738227844238
p00_09,pair,2,0,congestion_price_rt,0.0178147554397583
p00_09,pair,2,0,marginal_loss_price_da,0.26686227321624756
p00_09,pair,2,0,total_lmp_da,0.33819806575775146
p00_09,pair,2,0,da_as_total_mw_primary_reserve,0.05914872884750366
p00_09,pair,2,0,da_as_total_mw_synchronized_reserve,0.059404075145721436
p00_09,pair,2,0,da_as_total_mw_thirty_minutes_reserve,0.0
p00_09,pair,2,10,net_actual_interchange_mw,0.0
p00_09,pair,2,10,gross_actual_interchange_mw,0.12689292430877686
p00_09,pair,2,10,total_gen,0.7258727550506592
p00_09,pair,2,10,metered_load_mw,0.7199819087982178
p00_09,pair,2,10,total_losses,0.648391604423523
p00_09,pair,2,10,congestion_price_da,0.08532875776290894
p00_09,pair,2,10,congestion_price_rt,0.011967062950134277
p00_09,pair,2,10,marginal_loss_price_da,0.2996595501899719
p00_09,pair,2,10,total_lmp_da,0.32022160291671753
p00_09,pair,2,10,da_as_total_mw_primary_reserve,0.09082376956939697
p00_09,pair,2,10,da_as_total_mw_synchronized_reserve,0.09148842096328735
p00_09,pair,2,10,da_as_total_mw_thirty_minutes_reserve,0.0
p00_09,pair,2,50,net_actual_interchange_mw,0.0
p00_09,pair,2,50,gross_actual_interchange_mw,0.1381082534790039
p00_09,pair,2,50,total_gen,0.7481656074523926
p00_09,pair,2,50,metered_load_mw,0.7389205694198608
p00_09,pair,2,50,total_losses,0.6154672503471375
p00_09,pair,2,50,congestion_price_da,0.09550106525421143
p00_09,pair,2,50,congestion_price_rt,0.028755486011505127
p00_09,pair,2,50,marginal_loss_price_da,0.31806308031082153
p00_09,pair,2,50,total_lmp_da,0.34344255924224854
p00_09,pair,2,50,da_as_total_mw_primary_reserve,0.09327203035354614
p00_09,pair,2,50,da_as_total_mw_synchronized_reserve,0.096901535987854
p00_09,pair,2,50,da_as_total_mw_thirty_minutes_reserve,0.0
p00_09,pair,2,200,net_actual_interchange_mw,0.0
p00_09,pair,2,200,gross_actual_interchange_mw,0.1364607810974121
p00_09,pair,2,200,total_gen,0.7624533772468567
p00_09,pair,2,200,metered_load_mw,0.7494917511940002
p00_09,pair,2,200,total_losses,0.6557610034942627
p00_09,pair,2,200,congestion_price_da,0.09422963857650757
p00_09,pair,2,200,congestion_price_rt,0.02922224998474121
p00_09,pair,2,200,marginal_loss_price_da,0.35145580768585205
p00_09,pair,2,200,total_lmp_da,0.3686186671257019
p00_09,pair,2,200,da_as_total_mw_primary_reserve,0.0962708592414856
p00_09,pair,2,200,da_as_total_mw_synchronized_reserve,0.09562146663665771
p00_09,pair,2,200,da_as_total_mw_thirty_minutes_reserve,0.0
p00_15,pair,2,0,net_actual_interchange_mw,0.0
p00_15,pair,2,0,gross_actual_interchange_mw,0.11648964881896973
