variant,seed,n_params,r2_full,epochs_run,epochs_budget,K0_mae,K0_rho,K10_mae,K10_rho,K50_mae,K50_rho,K200_mae,K200_rho,K0_mae_1-2,K0_mae_3-4,K0_mae_5-8,K0_mae_9-16,K0_mae_17-32,K0_mae_33-44,n_seed,K0_mae_sd,K0_rho_sd,closure,verdict
A3_gat_dynamic,0.5,398752.0,0.7515015304088593,328.0,400.0,0.09072689105663606,0.9289555095082223,0.06730489318090446,0.944370161612385,0.04918777538611602,0.951650480521702,0.04141422450643303,0.9535429534747236,0.06505642521381376,0.12818408814760354,0.15825620318452516,0.2029523196319739,0.14019669791062672,0.11370913982391356,2,0.007021875820957811,0.0007487670575427338,0.1522707361574846,放弃
A1_gcn_dynamic,0.5,333212.0,0.7765818536281586,400.0,400.0,0.09375237961584945,0.9193776841236065,0.06481691887964654,0.9466611330538999,0.04592680794938566,0.9523956827155439,0.03667535937301397,0.9537291381423402,0.0696844871342182,0.13171900952091584,0.16392348210016888,0.1961464174091816,0.1305192691584428,0.09126471082369486,2,0.001685080344160659,0.0075444126374158505,0.06960711432105315,放弃
A4_gat_static,0.5,397720.0,0.7433413863182068,320.0,400.0,0.09500185243924056,0.9195357460317273,0.06979901032197697,0.9442635749955477,0.050764122672139485,0.9511961090244745,0.042329381344534206,0.9534555706214812,0.06878282691041628,0.13303331889880773,0.16709638088941575,0.20458993588884672,0.14679046670595805,0.12147901331384978,2,0.006176714106877232,0.00773870643010281,0.0354685125890557,放弃
A0_repro,0.5,250261.0,0.7578946650028229,385.5,400.0,0.09626543765821433,0.920720588086902,0.06903023020618054,0.9455451814179894,0.048837926793471605,0.9517684245940378,0.04007275698173872,0.9541639684165233,0.07062506172060966,0.1362165444984268,0.16633701473474505,0.19968757703900336,0.1369965257743994,0.1075585203866164,2,0.0013292418297444135,0.0010535526053894796,0.0009443262782970242,放弃
A2_gcn_noprior,0.5,201108.0,0.7652993202209473,389.0,400.0,0.0986107351059841,0.9171502691583477,0.06817648205559468,0.9458367228154041,0.04551071973671969,0.9527114714804187,0.03670599573179952,0.9543861268447654,0.07390612637003262,0.13870528872865132,0.16402921453118324,0.20320652301112813,0.12849596738815308,0.09934309621651968,2,0.005706055845887893,0.010370500536505732,-0.06313483896131435,放弃
