variant,seed,n_params,r2_full,epochs_run,epochs_budget,K0_mae,K0_rho,K10_mae,K10_rho,K50_mae,K50_rho,K200_mae,K200_rho,K0_mae_1-2,K0_mae_3-4,K0_mae_5-8,K0_mae_9-16,K0_mae_17-32,K0_mae_33-44,n_seed,K0_mae_sd,K0_rho_sd,closure,verdict
D_bypass,0.5,291525.0,0.8400543630123138,500.0,500.0,0.06548887896532737,0.9682218137045449,0.04792352897538953,0.9784667194608798,0.030460793802328724,0.98761295629807,0.01944572436300228,0.9935561507634731,0.048856487651666,0.09595100985219082,0.11886000086863835,0.13168916180729867,0.07681672920783361,0.033593245595693585,2,0.0009013397458791462,0.0005374857807641923,0.8418339080511646,有戏
B2_enc,0.5,415264.0,0.780357837677002,400.0,400.0,0.08508883449430191,0.9284560132085009,0.06175393379859109,0.9467452202294772,0.04499158210258193,0.952690973836108,0.03794741563108164,0.9535406378568945,0.06245521599054334,0.12015721770242238,0.15054700498779616,0.18658824215332667,0.11829232548673947,0.08605704257885616,2,0.0020164812725167523,0.001090067329577888,0.3063159974234451,放弃
B6_all@A1,0.5,167089.0,0.8185010850429535,500.0,500.0,0.08580823167023925,0.9326586278046743,0.07098465340996757,0.938660426838767,0.052898281438247804,0.9445882084043515,0.04279853853628719,0.9502845052135227,0.06480338647961614,0.12383189699493158,0.14129736597339312,0.1852693480749925,0.09613953456282615,0.050201688458522166,2,0.0035295465552985014,0.0025708925262703216,0.28666033687870895,放弃
B4_train,0.5,398752.0,0.7683441042900085,500.0,500.0,0.0870729114374937,0.9285210044363226,0.06363515041503809,0.9457355233487275,0.04613285561528706,0.9522771728829029,0.03931416090823671,0.9539561529942274,0.06366531994938848,0.12292062147305563,0.1470707649985949,0.19205392599105836,0.12463297098875045,0.09690758660435676,2,0.0016154109349990505,5.8596568378875845e-05,0.25210624487722133,放弃
B6_all,0.5,199865.0,0.807697594165802,500.0,500.0,0.08742110295671901,0.930741483605599,0.07366224987883052,0.9371881967581748,0.055228260492310305,0.9442320477315526,0.04519133753255135,0.9501159210649676,0.06506008876363434,0.1257798281044532,0.1505480960011482,0.19168562392393745,0.10630023976167044,0.061245065430800126,2,0.0007586908132009826,0.0008182050178587105,0.24259281539019092,放弃
B0_temp,0.5,398752.0,0.7600124180316925,397.5,400.0,0.0897846117603093,0.9254020828112866,0.066975547955726,0.9450542618769664,0.049476550283720444,0.9516286010198015,0.04083743799231983,0.9538241423721157,0.0654243989686171,0.12507019595553479,0.1585436599949996,0.19735947946707408,0.13915930340687435,0.10611124833424887,2,0.0042737364635771664,0.003315313010566379,0.1780160721226966,放弃
A3_gat_dynamic,0.5,398752.0,0.7515015304088593,328.0,400.0,0.09072689105663606,0.9289555095082223,0.06730489318090446,0.944370161612385,0.04918777538611602,0.951650480521702,0.04141422450643303,0.9535429534747236,0.06505642521381376,0.12818408814760354,0.15825620318452516,0.2029523196319739,0.14019669791062672,0.11370913982391356,2,0.007021875820957811,0.0007487670575427338,0.1522707361574846,放弃
B3_deep,0.5,122043.0,0.7625263035297394,382.0,400.0,0.09189695619084509,0.9263754738482313,0.0666965032957633,0.9457802295080313,0.04974610074825093,0.9517123029523846,0.0408678497558116,0.9534309477368765,0.06791656724611916,0.12817742326893866,0.15816221237182618,0.19333884716033933,0.13535073573390644,0.10292889550328255,2,0.0013414702725129614,0.005631929840711753,0.12030174341953295,放弃
B1_alpha,0.5,401397.0,0.7518234550952911,328.0,400.0,0.09193749040012231,0.9255839533650236,0.06802831431961101,0.9448906113135095,0.04935647275569878,0.9516103930691907,0.04150006364142228,0.9522289234509824,0.06636235173543292,0.12987001987699515,0.15677575667699178,0.20335619275768596,0.13914015119274456,0.1133580210308234,2,0.005144675869477299,0.004961315078300126,0.11919425136277843,放弃
B7_layered,0.5,596718.0,0.7773312628269196,400.0,400.0,0.09212545531151056,0.9212106300777109,0.06600523100261357,0.9463433411972877,0.04719955352483263,0.9514827682575617,0.039542518959533535,0.9536015642151028,0.06895751044154166,0.12931919814302373,0.15393635804454486,0.19678944647312163,0.12100431298216184,0.08915540004769962,2,0.0037937710677138597,0.003917780809093291,0.11405859804615943,放弃
A1_gcn_dynamic,0.5,333212.0,0.7765818536281586,400.0,400.0,0.09375237961584945,0.9193776841236065,0.06481691887964654,0.9466611330538999,0.04592680794938566,0.9523956827155439,0.03667535937301397,0.9537291381423402,0.0696844871342182,0.13171900952091584,0.16392348210016888,0.1961464174091816,0.1305192691584428,0.09126471082369486,2,0.001685080344160659,0.0075444126374158505,0.06960711432105315,放弃
A4_gat_static,0.5,397720.0,0.7433413863182068,320.0,400.0,0.09500185243924056,0.9195357460317273,0.06979901032197697,0.9442635749955477,0.050764122672139485,0.9511961090244745,0.042329381344534206,0.9534555706214812,0.06878282691041628,0.13303331889880773,0.16709638088941575,0.20458993588884672,0.14679046670595805,0.12147901331384978,2,0.006176714106877232,0.00773870643010281,0.0354685125890557,放弃
A0_repro,0.5,250261.0,0.7578946650028229,385.5,400.0,0.09626543765821433,0.920720588086902,0.06903023020618054,0.9455451814179894,0.048837926793471605,0.9517684245940378,0.04007275698173872,0.9541639684165233,0.07062506172060966,0.1362165444984268,0.16633701473474505,0.19968757703900336,0.1369965257743994,0.1075585203866164,2,0.0013292418297444135,0.0010535526053894796,0.0009443262782970242,放弃
A2_gcn_noprior,0.5,201108.0,0.7652993202209473,389.0,400.0,0.0986107351059841,0.9171502691583477,0.06817648205559468,0.9458367228154041,0.04551071973671969,0.9527114714804187,0.03670599573179952,0.9543861268447654,0.07390612637003262,0.13870528872865132,0.16402921453118324,0.20320652301112813,0.12849596738815308,0.09934309621651968,2,0.005706055845887893,0.010370500536505732,-0.06313483896131435,放弃
