sid,group,size,K,conf,est
p00_06,pair,2,200,metered_load_mw,0.7589229345321655
p00_06,pair,2,200,total_losses,0.5519781112670898
p00_06,pair,2,200,congestion_price_da,0.1190609335899353
p00_06,pair,2,200,congestion_price_rt,0.059556424617767334
p00_06,pair,2,200,marginal_loss_price_da,0.33845651149749756
p00_06,pair,2,200,total_lmp_da,0.43671560287475586
p00_06,pair,2,200,da_as_total_mw_primary_reserve,0.13401639461517334
p00_06,pair,2,200,da_as_total_mw_synchronized_reserve,0.1306498646736145
p00_06,pair,2,200,da_as_total_mw_thirty_minutes_reserve,0.24646985530853271
p00_09,pair,2,0,net_actual_interchange_mw,0.0
p00_09,pair,2,0,gross_actual_interchange_mw,0.10690289735794067
p00_09,pair,2,0,total_gen,0.7154920101165771
p00_09,pair,2,0,metered_load_mw,0.7028908729553223
p00_09,pair,2,0,total_losses,0.5376594066619873
p00_09,pair,2,0,congestion_price_da,0.08815044164657593
p00_09,pair,2,0,congestion_price_rt,0.013510644435882568
p00_09,pair,2,0,marginal_loss_price_da,0.24967217445373535
p00_09,pair,2,0,total_lmp_da,0.3116784691810608
p00_09,pair,2,0,da_as_total_mw_primary_reserve,0.007542729377746582
p00_09,pair,2,0,da_as_total_mw_synchronized_reserve,0.0021056532859802246
p00_09,pair,2,0,da_as_total_mw_thirty_minutes_reserve,0.0
p00_09,pair,2,10,net_actual_interchange_mw,0.0
p00_09,pair,2,10,gross_actual_interchange_mw,0.1336800456047058
p00_09,pair,2,10,total_gen,0.7590046525001526
p00_09,pair,2,10,metered_load_mw,0.7462184429168701
p00_09,pair,2,10,total_losses,0.649340808391571
p00_09,pair,2,10,congestion_price_da,0.09173810482025146
p00_09,pair,2,10,congestion_price_rt,0.015167951583862305
p00_09,pair,2,10,marginal_loss_price_da,0.31176871061325073
p00_09,pair,2,10,total_lmp_da,0.3480648994445801
p00_09,pair,2,10,da_as_total_mw_primary_reserve,0.0772431492805481
p00_09,pair,2,10,da_as_total_mw_synchronized_reserve,0.09106981754302979
p00_09,pair,2,10,da_as_total_mw_thirty_minutes_reserve,0.0
p00_09,pair,2,50,net_actual_interchange_mw,0.0
p00_09,pair,2,50,gross_actual_interchange_mw,0.13876855373382568
p00_09,pair,2,50,total_gen,0.7599384784698486
p00_09,pair,2,50,metered_load_mw,0.7473939657211304
p00_09,pair,2,50,total_losses,0.6574161052703857
p00_09,pair,2,50,congestion_price_da,0.08995741605758667
p00_09,pair,2,50,congestion_price_rt,0.034539878368377686
p00_09,pair,2,50,marginal_loss_price_da,0.317425012588501
p00_09,pair,2,50,total_lmp_da,0.3658210039138794
p00_09,pair,2,50,da_as_total_mw_primary_reserve,0.09086298942565918
p00_09,pair,2,50,da_as_total_mw_synchronized_reserve,0.08759397268295288
p00_09,pair,2,50,da_as_total_mw_thirty_minutes_reserve,0.0
p00_09,pair,2,200,net_actual_interchange_mw,0.0
p00_09,pair,2,200,gross_actual_interchange_mw,0.1383603811264038
p00_09,pair,2,200,total_gen,0.7649111747741699
p00_09,pair,2,200,metered_load_mw,0.7508952021598816
p00_09,pair,2,200,total_losses,0.6590932011604309
p00_09,pair,2,200,congestion_price_da,0.09450691938400269
p00_09,pair,2,200,congestion_price_rt,0.034814536571502686
p00_09,pair,2,200,marginal_loss_price_da,0.3225967288017273
p00_09,pair,2,200,total_lmp_da,0.36099040508270264
p00_09,pair,2,200,da_as_total_mw_primary_reserve,0.09558373689651489
p00_09,pair,2,200,da_as_total_mw_synchronized_reserve,0.08285403251647949
p00_09,pair,2,200,da_as_total_mw_thirty_minutes_reserve,0.0
p00_15,pair,2,0,net_actual_interchange_mw,0.0
p00_15,pair,2,0,gross_actual_interchange_mw,0.08551770448684692
p00_15,pair,2,0,total_gen,0.8062690496444702
p00_15,pair,2,0,metered_load_mw,0.8062620162963867
p00_15,pair,2,0,total_losses,0.4941409230232239
p00_15,pair,2,0,congestion_price_da,0.09475785493850708
p00_15,pair,2,0,congestion_price_rt,0.06461101770401001
p00_15,pair,2,0,marginal_loss_price_da,0.4643367528915405
p00_15,pair,2,0,total_lmp_da,0.6291999816894531
p00_15,pair,2,0,da_as_total_mw_primary_reserve,0.016793549060821533
p00_15,pair,2,0,da_as_total_mw_synchronized_reserve,0.0018066763877868652
p00_15,pair,2,0,da_as_total_mw_thirty_minutes_reserve,0.23264247179031372
p00_15,pair,2,10,net_actual_interchange_mw,0.0
p00_15,pair,2,10,gross_actual_interchange_mw,0.1482924222946167
p00_15,pair,2,10,total_gen,0.8071324825286865
p00_15,pair,2,10,metered_load_mw,0.8066694736480713
p00_15,pair,2,10,total_losses,0.522183895111084
p00_15,pair,2,10,congestion_price_da,0.1839923858642578
p00_15,pair,2,10,congestion_price_rt,0.12498515844345093
p00_15,pair,2,10,marginal_loss_price_da,0.5034546256065369
p00_15,pair,2,10,total_lmp_da,0.656617283821106
p00_15,pair,2,10,da_as_total_mw_primary_reserve,0.08805745840072632
p00_15,pair,2,10,da_as_total_mw_synchronized_reserve,0.06364750862121582
p00_15,pair,2,10,da_as_total_mw_thirty_minutes_reserve,0.3249654769897461
p00_15,pair,2,50,net_actual_interchange_mw,0.0
p00_15,pair,2,50,gross_actual_interchange_mw,0.1482330560684204
p00_15,pair,2,50,total_gen,0.8180996775627136
p00_15,pair,2,50,metered_load_mw,0.8179744482040405
p00_15,pair,2,50,total_losses,0.5401358604431152
p00_15,pair,2,50,congestion_price_da,0.19511198997497559
p00_15,pair,2,50,congestion_price_rt,0.13420742750167847
p00_15,pair,2,50,marginal_loss_price_da,0.505651593208313
p00_15,pair,2,50,total_lmp_da,0.6743228435516357
p00_15,pair,2,50,da_as_total_mw_primary_reserve,0.13280707597732544
p00_15,pair,2,50,da_as_total_mw_synchronized_reserve,0.1126854419708252
p00_15,pair,2,50,da_as_total_mw_thirty_minutes_reserve,0.35034674406051636
p00_15,pair,2,200,net_actual_interchange_mw,0.0
p00_15,pair,2,200,gross_actual_interchange_mw,0.15737491846084595
p00_15,pair,2,200,total_gen,0.8276064395904541
p00_15,pair,2,200,metered_load_mw,0.8225815296173096
p00_15,pair,2,200,total_losses,0.5627737641334534
p00_15,pair,2,200,congestion_price_da,0.2148941159248352
p00_15,pair,2,200,congestion_price_rt,0.13323134183883667
p00_15,pair,2,200,marginal_loss_price_da,0.5059808492660522
p00_15,pair,2,200,total_lmp_da,0.6785603761672974
p00_15,pair,2,200,da_as_total_mw_primary_reserve,0.15079110860824585
p00_15,pair,2,200,da_as_total_mw_synchronized_reserve,0.12969881296157837
p00_15,pair,2,200,da_as_total_mw_thirty_minutes_reserve,0.37503957748413086
p00_28,pair,2,0,net_actual_interchange_mw,0.045088768005371094
p00_28,pair,2,0,gross_actual_interchange_mw,0.10690289735794067
p00_28,pair,2,0,total_gen,0.7154920101165771
p00_28,pair,2,0,metered_load_mw,0.7028908729553223
p00_28,pair,2,0,total_losses,0.4249393939971924
p00_28,pair,2,0,congestion_price_da,0.08815044164657593
p00_28,pair,2,0,congestion_price_rt,0.013510644435882568
p00_28,pair,2,0,marginal_loss_price_da,0.24967217445373535
p00_28,pair,2,0,total_lmp_da,0.3116784691810608
p00_28,pair,2,0,da_as_total_mw_primary_reserve,0.06027621030807495
p00_28,pair,2,0,da_as_total_mw_synchronized_reserve,0.0021056532859802246
p00_28,pair,2,0,da_as_total_mw_thirty_minutes_reserve,0.07785677909851074
p00_28,pair,2,10,net_actual_interchange_mw,0.05959087610244751
p00_28,pair,2,10,gross_actual_interchange_mw,0.13455629348754883
p00_28,pair,2,10,total_gen,0.759058952331543
p00_28,pair,2,10,metered_load_mw,0.7463499307632446
p00_28,pair,2,10,total_losses,0.4873121976852417
p00_28,pair,2,10,congestion_price_da,0.09190535545349121
p00_28,pair,2,10,congestion_price_rt,0.012574970722198486
p00_28,pair,2,10,marginal_loss_price_da,0.30391085147857666
p00_28,pair,2,10,total_lmp_da,0.3401034474372864
p00_28,pair,2,10,da_as_total_mw_primary_reserve,0.10041755437850952
p00_28,pair,2,10,da_as_total_mw_synchronized_reserve,0.09162259101867676
p00_28,pair,2,10,da_as_total_mw_thirty_minutes_reserve,0.09527695178985596
p00_28,pair,2,50,net_actual_interchange_mw,0.04580831527709961
p00_28,pair,2,50,gross_actual_interchange_mw,0.13637113571166992
p00_28,pair,2,50,total_gen,0.7591601014137268
p00_28,pair,2,50,metered_load_mw,0.7466341257095337
p00_28,pair,2,50,total_losses,0.5025752186775208
p00_28,pair,2,50,congestion_price_da,0.09306478500366211
p00_28,pair,2,50,congestion_price_rt,0.03479689359664917
p00_28,pair,2,50,marginal_loss_price_da,0.3198128342628479
p00_28,pair,2,50,total_lmp_da,0.36622530221939087
p00_28,pair,2,50,da_as_total_mw_primary_reserve,0.13307708501815796
p00_28,pair,2,50,da_as_total_mw_synchronized_reserve,0.08660268783569336
p00_28,pair,2,50,da_as_total_mw_thirty_minutes_reserve,0.10849303007125854
p00_28,pair,2,200,net_actual_interchange_mw,0.06133824586868286
p00_28,pair,2,200,gross_actual_interchange_mw,0.13741016387939453
p00_28,pair,2,200,total_gen,0.7651332020759583
p00_28,pair,2,200,metered_load_mw,0.7496015429496765
p00_28,pair,2,200,total_losses,0.4952040910720825
p00_28,pair,2,200,congestion_price_da,0.09401804208755493
p00_28,pair,2,200,congestion_price_rt,0.03453540802001953
p00_28,pair,2,200,marginal_loss_price_da,0.31690430641174316
p00_28,pair,2,200,total_lmp_da,0.3556525707244873
p00_28,pair,2,200,da_as_total_mw_primary_reserve,0.13044393062591553
p00_28,pair,2,200,da_as_total_mw_synchronized_reserve,0.0824396014213562
p00_28,pair,2,200,da_as_total_mw_thirty_minutes_reserve,0.10723137855529785
p00_31,pair,2,0,net_actual_interchange_mw,0.2998843789100647
p00_31,pair,2,0,gross_actual_interchange_mw,0.07247954607009888
p00_31,pair,2,0,total_gen,0.7665088772773743
p00_31,pair,2,0,metered_load_mw,0.748001217842102
p00_31,pair,2,0,total_losses,0.5103161334991455
p00_31,pair,2,0,congestion_price_da,0.09449303150177002
p00_31,pair,2,0,congestion_price_rt,0.0
p00_31,pair,2,0,marginal_loss_price_da,0.2680743336677551
p00_31,pair,2,0,total_lmp_da,0.316592812538147
p00_31,pair,2,0,da_as_total_mw_primary_reserve,0.4363420605659485
p00_31,pair,2,0,da_as_total_mw_synchronized_reserve,0.5037884712219238
p00_31,pair,2,0,da_as_total_mw_thirty_minutes_reserve,0.19535976648330688
p00_31,pair,2,10,net_actual_interchange_mw,0.3611155152320862
p00_31,pair,2,10,gross_actual_interchange_mw,0.13739526271820068
p00_31,pair,2,10,total_gen,0.786700427532196
p00_31,pair,2,10,metered_load_mw,0.7633540034294128
p00_31,pair,2,10,total_losses,0.5077011585235596
p00_31,pair,2,10,congestion_price_da,0.10817503929138184
p00_31,pair,2,10,congestion_price_rt,0.06355053186416626
p00_31,pair,2,10,marginal_loss_price_da,0.34447193145751953
p00_31,pair,2,10,total_lmp_da,0.36849111318588257
p00_31,pair,2,10,da_as_total_mw_primary_reserve,0.4526926279067993
p00_31,pair,2,10,da_as_total_mw_synchronized_reserve,0.5273712873458862
p00_31,pair,2,10,da_as_total_mw_thirty_minutes_reserve,0.20441585779190063
p00_31,pair,2,50,net_actual_interchange_mw,0.39783138036727905
p00_31,pair,2,50,gross_actual_interchange_mw,0.1617668867111206
p00_31,pair,2,50,total_gen,0.7907677888870239
p00_31,pair,2,50,metered_load_mw,0.7665936946868896
p00_31,pair,2,50,total_losses,0.5749878883361816
p00_31,pair,2,50,congestion_price_da,0.12782591581344604
p00_31,pair,2,50,congestion_price_rt,0.08235257863998413
p00_31,pair,2,50,marginal_loss_price_da,0.3869885206222534
p00_31,pair,2,50,total_lmp_da,0.4285433888435364
p00_31,pair,2,50,da_as_total_mw_primary_reserve,0.46355241537094116
p00_31,pair,2,50,da_as_total_mw_synchronized_reserve,0.5344118475914001
p00_31,pair,2,50,da_as_total_mw_thirty_minutes_reserve,0.23830604553222656
p00_31,pair,2,200,net_actual_interchange_mw,0.41667550802230835
p00_31,pair,2,200,gross_actual_interchange_mw,0.18730998039245605
p00_31,pair,2,200,total_gen,0.796600878238678
p00_31,pair,2,200,metered_load_mw,0.7697455883026123
p00_31,pair,2,200,total_losses,0.6007568836212158
p00_31,pair,2,200,congestion_price_da,0.15369051694869995
p00_31,pair,2,200,congestion_price_rt,0.09087836742401123
p00_31,pair,2,200,marginal_loss_price_da,0.41170740127563477
p00_31,pair,2,200,total_lmp_da,0.4594132900238037
p00_31,pair,2,200,da_as_total_mw_primary_reserve,0.46870458126068115
p00_31,pair,2,200,da_as_total_mw_synchronized_reserve,0.5391933917999268
p00_31,pair,2,200,da_as_total_mw_thirty_minutes_reserve,0.2548988461494446
p00_32,pair,2,0,net_actual_interchange_mw,0.2998197078704834
p00_32,pair,2,0,gross_actual_interchange_mw,0.07233607769012451
p00_32,pair,2,0,total_gen,0.7663193345069885
p00_32,pair,2,0,metered_load_mw,0.7476985454559326
p00_32,pair,2,0,total_losses,0.5117322206497192
p00_32,pair,2,0,congestion_price_da,0.09382808208465576
p00_32,pair,2,0,congestion_price_rt,0.0
p00_32,pair,2,0,marginal_loss_price_da,0.26843076944351196
p00_32,pair,2,0,total_lmp_da,0.31653445959091187
p00_32,pair,2,0,da_as_total_mw_primary_reserve,0.43678659200668335
p00_32,pair,2,0,da_as_total_mw_synchronized_reserve,0.5063352584838867
p00_32,pair,2,0,da_as_total_mw_thirty_minutes_reserve,0.19545692205429077
p00_32,pair,2,10,net_actual_interchange_mw,0.36311060190200806
p00_32,pair,2,10,gross_actual_interchange_mw,0.13981127738952637
p00_32,pair,2,10,total_gen,0.7869834899902344
p00_32,pair,2,10,metered_load_mw,0.7628384828567505
p00_32,pair,2,10,total_losses,0.5264054536819458
p00_32,pair,2,10,congestion_price_da,0.10857349634170532
p00_32,pair,2,10,congestion_price_rt,0.05914020538330078
p00_32,pair,2,10,marginal_loss_price_da,0.3408939242362976
p00_32,pair,2,10,total_lmp_da,0.36464470624923706
p00_32,pair,2,10,da_as_total_mw_primary_reserve,0.45849525928497314
p00_32,pair,2,10,da_as_total_mw_synchronized_reserve,0.5277624726295471
p00_32,pair,2,10,da_as_total_mw_thirty_minutes_reserve,0.20178335905075073
p00_32,pair,2,50,net_actual_interchange_mw,0.4046474099159241
p00_32,pair,2,50,gross_actual_interchange_mw,0.1656542420387268
p00_32,pair,2,50,total_gen,0.7910549640655518
p00_32,pair,2,50,metered_load_mw,0.7673864960670471
p00_32,pair,2,50,total_losses,0.5769079327583313
p00_32,pair,2,50,congestion_price_da,0.12880772352218628
p00_32,pair,2,50,congestion_price_rt,0.08369100093841553
p00_32,pair,2,50,marginal_loss_price_da,0.38933634757995605
p00_32,pair,2,50,total_lmp_da,0.42987221479415894
p00_32,pair,2,50,da_as_total_mw_primary_reserve,0.46245115995407104
p00_32,pair,2,50,da_as_total_mw_synchronized_reserve,0.5344212055206299
p00_32,pair,2,50,da_as_total_mw_thirty_minutes_reserve,0.2402719259262085
p00_32,pair,2,200,net_actual_interchange_mw,0.41797441244125366
p00_32,pair,2,200,gross_actual_interchange_mw,0.18662750720977783
p00_32,pair,2,200,total_gen,0.7923414707183838
p00_32,pair,2,200,metered_load_mw,0.766215443611145
p00_32,pair,2,200,total_losses,0.6038360595703125
p00_32,pair,2,200,congestion_price_da,0.13865554332733154
p00_32,pair,2,200,congestion_price_rt,0.0895313024520874
p00_32,pair,2,200,marginal_loss_price_da,0.4151502251625061
p00_32,pair,2,200,total_lmp_da,0.4595508575439453
p00_32,pair,2,200,da_as_total_mw_primary_reserve,0.46732819080352783
p00_32,pair,2,200,da_as_total_mw_synchronized_reserve,0.5387484431266785
p00_32,pair,2,200,da_as_total_mw_thirty_minutes_reserve,0.2609439492225647
p00_35,pair,2,0,net_actual_interchange_mw,0.0
p00_35,pair,2,0,gross_actual_interchange_mw,0.10690289735794067
p00_35,pair,2,0,total_gen,0.7154920101165771
p00_35,pair,2,0,metered_load_mw,0.7028908729553223
p00_35,pair,2,0,total_losses,0.4249393939971924
p00_35,pair,2,0,congestion_price_da,0.08815044164657593
p00_35,pair,2,0,congestion_price_rt,0.013510644435882568
p00_35,pair,2,0,marginal_loss_price_da,0.24967217445373535
p00_35,pair,2,0,total_lmp_da,0.3116784691810608
p00_35,pair,2,0,da_as_total_mw_primary_reserve,0.007542729377746582
p00_35,pair,2,0,da_as_total_mw_synchronized_reserve,0.0021056532859802246
p00_35,pair,2,0,da_as_total_mw_thirty_minutes_reserve,0.0
p00_35,pair,2,10,net_actual_interchange_mw,0.0
p00_35,pair,2,10,gross_actual_interchange_mw,0.1336483359336853
p00_35,pair,2,10,total_gen,0.7585638761520386
p00_35,pair,2,10,metered_load_mw,0.7456355094909668
p00_35,pair,2,10,total_losses,0.49208545684814453
p00_35,pair,2,10,congestion_price_da,0.09197533130645752
p00_35,pair,2,10,congestion_price_rt,0.01288461685180664
