order,tau,target_lo95,beam,cost_frac,actual_cov,actual_lo95
4,0.05,0.5,500.0,0.12595,0.5136,0.502
4,0.05,0.7,1000.0,0.22812,0.7669,0.757
4,0.05,0.8,2000.0,0.39653,0.951,0.9457
4,0.05,0.9,2000.0,0.39653,0.951,0.9457
4,0.1,0.5,200.0,0.05378,0.6261,0.562
4,0.1,0.7,500.0,0.12595,0.7783,0.7202
4,0.1,0.8,1000.0,0.22812,0.8957,0.8494
4,0.1,0.9,2000.0,0.39653,0.9696,0.9385
4,0.15,0.5,1000.0,0.22812,0.8182,0.523
4,0.15,0.7,2000.0,0.39653,1.0,0.7412
4,0.15,0.8,,,,
4,0.15,0.9,,,,
5,0.05,0.5,2000.0,0.06136,0.6998,0.6895
5,0.05,0.7,,,,
5,0.05,0.8,,,,
5,0.05,0.9,,,,
5,0.1,0.5,1000.0,0.03236,0.6486,0.5562
5,0.1,0.7,,,,
5,0.1,0.8,,,,
5,0.1,0.9,,,,
5,0.15,0.5,,,,
5,0.15,0.7,,,,
5,0.15,0.8,,,,
5,0.15,0.9,,,,
