order,beam,touched,full_comb,cost_frac,seconds,n>0.05,cov>0.05,lo95>0.05,n>0.1,cov>0.1,lo95>0.1,n>0.15,cov>0.15,lo95>0.15
4,100,3777,135751,0.02782,4.7,7122,0.1543,0.1461,230,0.3739,0.3139,11,0.0909,0.0162
4,200,7301,135751,0.05378,2.5,7122,0.277,0.2668,230,0.6261,0.562,11,0.3636,0.1517
4,500,17098,135751,0.12595,5.1,7122,0.5136,0.502,230,0.7783,0.7202,11,0.5455,0.2801
4,1000,30967,135751,0.22812,6.7,7122,0.7669,0.757,230,0.8957,0.8494,11,0.8182,0.523
4,2000,53830,135751,0.39653,10.2,7122,0.951,0.9457,230,0.9696,0.9385,11,1.0,0.7412
5,100,3776,1086008,0.00348,2.7,7854,0.073,0.0674,111,0.0991,0.0562,6,0.0,0.0
5,200,7503,1086008,0.00691,2.9,7854,0.1434,0.1358,111,0.2883,0.2122,6,0.3333,0.0968
5,500,18182,1086008,0.01674,7.4,7854,0.2853,0.2755,111,0.4414,0.3526,6,0.8333,0.4365
5,1000,35141,1086008,0.03236,12.2,7854,0.4856,0.4746,111,0.6486,0.5562,6,0.8333,0.4365
5,2000,66633,1086008,0.06136,20.9,7854,0.6998,0.6895,111,0.7477,0.6596,6,0.8333,0.4365
