order,source,n_eval,full_comb,touched,touch_frac,max_syn,median_syn,n>0.05,dens>0.05,dens_hi95>0.05,est_total>0.05,cov>0.05,cov_lo95>0.05,cov_hi95>0.05,n>0.1,dens>0.1,dens_hi95>0.1,est_total>0.1,cov>0.1,cov_lo95>0.1,cov_hi95>0.1,n>0.15,dens>0.15,dens_hi95>0.15,est_total>0.15,cov>0.15,cov_lo95>0.15,cov_hi95>0.15,n>0.2,dens>0.2,dens_hi95>0.2,est_total>0.2,cov>0.2,cov_lo95>0.2,cov_hi95>0.2
3,全枚举,13244,13244,13244,1.0,0.4723,0.0309,3099,0.233993,0.24128,3099,1.0,0.9988,1.0,416,0.03141,0.03452,416,1.0,0.9908,1.0,57,0.004304,0.005572,57,1.0,0.9369,1.0,18,0.001359,0.002148,18,1.0,0.8241,1.0
4,全枚举,135751,135751,30967,0.22811618330620032,0.1799,0.0198,7122,0.052464,0.053662,7122,0.7669,0.757,0.7766,230,0.001694,0.001928,230,0.8957,0.8494,0.9289,11,8.1e-05,0.000145,11,0.8182,0.523,0.9486,0,0.0,2.8e-05,0,,,
5,全枚举,1086008,1086008,35141,0.03235795684746337,0.189,0.0138,7854,0.007232,0.007393,7854,0.4856,0.4746,0.4967,111,0.000102,0.000123,111,0.6486,0.5562,0.7311,6,6e-06,1.2e-05,6,0.8333,0.4365,0.9699,0,0.0,4e-06,0,,,
6,抽样,50000,7059052,35547,0.005035662012406198,0.1117,0.0098,42,0.00084,0.001135,5930,0.4048,0.2704,0.5551,2,4e-05,0.000146,282,0.5,0.0945,0.9055,0,0.0,7.7e-05,0,,,,0,0.0,7.7e-05,0,,,
7,抽样,50000,38320568,34198,0.0008924189223917558,0.1497,0.0069,15,0.0003,0.000495,11496,0.2667,0.109,0.5195,1,2e-05,0.000113,766,0.0,0.0,0.7935,0,0.0,7.7e-05,0,,,,0,0.0,7.7e-05,0,,,
8,抽样,50000,177232627,32314,0.0001823253457728187,0.0662,0.0049,2,4e-05,0.000146,7089,0.0,0.0,0.6576,0,0.0,7.7e-05,0,,,,0,0.0,7.7e-05,0,,,,0,0.0,7.7e-05,0,,,
