confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.9892417,0.9962878493933236,-0.0070461035
total_gen,0.9891489,0.99832719588513,-0.009178281
total_lmp_da,0.9807201,0.99047564583207,-0.009755552
da_as_total_mw_primary_reserve,0.9477534,0.953601669814596,-0.005848229
da_as_total_mw_synchronized_reserve,0.9155441,0.920000100798808,-0.0044559836
da_as_total_mw_thirty_minutes_reserve,0.86678326,0.9141437178213236,-0.04736048
net_actual_interchange_mw,0.8515208,0.9295984627394396,-0.078077674
total_losses,0.84531295,0.9334742413917716,-0.08816129
marginal_loss_price_da,0.80359745,0.8816090434068973,-0.07801157
gross_actual_interchange_mw,0.79125726,0.8759973140166133,-0.08474004
congestion_price_rt,0.65046906,0.6702083206524372,-0.01973927
congestion_price_da,0.5994431,0.6602494811248918,-0.060806394
