target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.22130822,0.15385887,0.19992994,0.23912196,0.18578097
gross_actual_interchange_mw,0.027538734,0.02883991,0.033112817,0.88447326,0.026035246
total_gen,0.059495077,0.055190314,0.08208004,0.750866,0.052368604
metered_load_mw,0.07397629,0.059348542,0.10036906,0.7027769,0.06352916
total_losses,0.16211052,0.15693219,0.093938224,0.47507295,0.111946195
congestion_price_da,0.15786636,0.15181883,0.14259797,0.34136575,0.20635106
congestion_price_rt,0.062815726,0.09730764,0.11014462,0.31604803,0.413684
marginal_loss_price_da,0.25344887,0.13717267,0.12928027,0.13202932,0.34806883
total_lmp_da,0.44588527,0.047175962,0.0920136,0.35411265,0.060812596
da_as_total_mw_primary_reserve,0.5991398,0.08199513,0.08997772,0.13864483,0.09024252
da_as_total_mw_synchronized_reserve,0.07478954,0.06991127,0.07687266,0.70305914,0.07536733
da_as_total_mw_thirty_minutes_reserve,0.15271486,0.33796468,0.20216657,0.10993777,0.19721606
