band,n,truth,m2,ceiling,resid,headroom,closure
5-8,110,0.5062161261385137,0.4097353290427815,0.8614699510010806,0.09648079709573225,0.4517346219582991,0.25030665529542834
9-16,105,0.6821980697768075,0.49207170123145694,0.8554145075026013,0.1901263685453506,0.36334280627114435,0.5585422191433117
17-32,84,0.736870995589665,0.525736825806754,0.8299985116436368,0.21113416978291102,0.30426168583688284,0.7258001314740211
33-44,71,0.7882388947715222,0.5745508704386967,0.8077786522851863,0.21368802433282558,0.2332277818464897,0.9128219157556587
