group,n_entries,n_strong,base_rate,recall,recall_ci_lo,recall_ci_hi,keep_rate,speedup
triple_top,2364,314,0.13282571912013535,0.8503184713375797,0.8066348272944569,0.8855338504368407,0.4200507614213198,2.380664652567976
triple_rand,2400,19,0.007916666666666667,0.9473684210526315,0.7536078466345479,0.99064824750947,0.20791666666666667,4.809619238476954
