sid,conf,truth_syn,est_syn,rank_est,n_total
p09_18,total_gen,0.7653958797454834,-0.038576066493988,11303.0,11352
p09_18,metered_load_mw,0.7505853772163391,-0.0324185490608215,11260.0,11352
p03_13,total_gen,0.6956952214241028,0.0432895421981811,1622.0,11352
p02_12,total_gen,0.6651379466056824,-0.0740888118743896,11347.0,11352
p02_12,metered_load_mw,0.6347124576568604,-0.083298921585083,11349.0,11352
p03_13,metered_load_mw,0.6309685707092285,0.019194483757019,3626.0,11352
p07_17,total_gen,0.5961714386940002,0.0112411975860595,4970.0,11352
p07_17,metered_load_mw,0.5828941464424133,0.007712185382843,5751.0,11352
p09_18,total_losses,0.5244346857070923,0.0186740756034851,3695.0,11352
p07_17,total_lmp_da,0.4072717428207397,-0.0005587935447692,8682.0,11352
