threshold,n_pairs,hit_perconf,hit_average,missed_by_average,miss_rate
0.05,946,723,239,484,0.669432918395574
0.1,946,402,19,383,0.9527363184079602
0.2,946,78,4,74,0.9487179487179487
0.3,946,16,0,16,1.0
