target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,9,2.154846429824829,0.9807128738916769
gross_actual_interchange_mw,11,2.178459882736206,0.9084883345192633
total_gen,28,2.985337257385254,0.8959045725642716
metered_load_mw,27,2.9729843139648438,0.902042314239026
total_losses,19,2.7678983211517334,0.9400426841025298
congestion_price_da,8,2.010538101196289,0.9668644493713998
congestion_price_rt,11,2.217268466949463,0.9246727712015069
marginal_loss_price_da,21,2.8790407180786133,0.9456460830787798
total_lmp_da,32,3.246029853820801,0.9366062345369592
da_as_total_mw_primary_reserve,11,2.0508742332458496,0.8552809860008842
da_as_total_mw_synchronized_reserve,8,1.7728996276855469,0.8525845002852761
da_as_total_mw_thirty_minutes_reserve,18,2.7694859504699707,0.9581763809115739
