,probe_r2,single_r2,dynamic_8head,lora_r4,lora_r8,lora_r4_gain,lora_r8_gain,best_arm_minus_single
net_actual_interchange_mw,0.2481899560136845,0.819790780544281,0.7516864538192749,0.7520004510879517,0.7445811033248901,0.0003139972686767578,-0.007105350494384766,-0.06779032945632935
gross_actual_interchange_mw,0.2460934792895835,0.7351402044296265,0.7335922718048096,0.7244081497192383,0.7225507497787476,-0.009184122085571289,-0.011041522026062012,-0.0015479326248168945
total_gen,0.9906449538219424,0.9952749013900756,0.9862432479858398,0.9853448867797852,0.98538476228714,-0.0008983612060546875,-0.0008584856986998401,-0.009031653404235729
metered_load_mw,0.9762308832723112,0.9945668578147888,0.9878467321395874,0.987201988697052,0.9876540303230286,-0.0006447434425354004,-0.0001927018165588379,-0.006720125675201416
total_losses,0.6540839836602339,0.8267552852630615,0.801268458366394,0.7947381138801575,0.7923828363418579,-0.006530344486236572,-0.008885622024536133,-0.02548682689666748
congestion_price_da,0.0475838272605031,0.517056941986084,0.3571691513061523,0.3517923355102539,0.4064147472381592,-0.005376815795898382,0.04924559593200689,-0.1106421947479248
congestion_price_rt,0.4561738508473963,0.5028364658355713,0.546393632888794,0.5406709909439087,0.5264910459518433,-0.005722641944885254,-0.019902586936950684,0.043557167053222656
marginal_loss_price_da,0.4407231017762543,0.7623509168624878,0.7186387181282043,0.7001965045928955,0.7053754329681396,-0.018442213535308838,-0.013263285160064697,-0.04371219873428345
total_lmp_da,0.9299314144617218,0.9976135492324828,0.9784623980522156,0.9650272727012634,0.9745530486106871,-0.013435125350952148,-0.003909349441528431,-0.019151151180267223
da_as_total_mw_primary_reserve,0.9752278189577616,0.992136776447296,0.9493114948272704,0.9466145038604736,0.9453476667404176,-0.002696990966796764,-0.003963828086852805,-0.042825281620025635
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.995881736278534,0.9112232327461244,0.9100231528282166,0.9097076058387756,-0.0012000799179078259,-0.0015156269073487438,-0.08465850353240967
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.7876495122909546,0.7921643853187561,0.7922701835632324,0.782991349697113,0.00010579824447631836,-0.009173035621643066,0.004620671272277832
