key,K,ret,band,recall_all,recall_test,n,n_test
S1_syn3,0,0.1,0.10-0.12,0.45336219778535575,0.37300639140958397,89,31
S1_syn3,0,0.1,0.12-0.15,0.4491968402453697,0.3722639371584794,127,56
S1_syn3,0,0.1,0.15-0.20,0.5746585064611868,0.5795632859637103,96,38
S1_syn3,0,0.1,>0.20,0.047309906168686106,0.2,15,5
S1_syn3,0,0.2,0.10-0.12,0.7258189968964328,0.772129161265177,89,31
S1_syn3,0,0.2,0.12-0.15,0.8276266642384212,0.8227956437825495,127,56
S1_syn3,0,0.2,0.15-0.20,0.6493170129223736,0.6591265719274206,96,38
S1_syn3,0,0.2,>0.20,0.047309906168686106,0.2,15,5
S1_syn3,0,0.3,0.10-0.12,0.8523276753898619,0.8911483354939291,89,31
S1_syn3,0,0.3,0.12-0.15,0.8816440390363836,0.8477437551758669,127,56
S1_syn3,0,0.3,0.15-0.20,0.6907939609563662,0.6790173934183482,96,38
S1_syn3,0,0.3,>0.20,0.047309906168686106,0.2,15,5
S1_syn3,0,0.6,0.10-0.12,0.9630819188474656,0.9637161118313097,89,31
S1_syn3,0,0.6,0.12-0.15,0.9775031214046936,0.955484946240285,127,56
S1_syn3,0,0.6,0.15-0.20,0.7405662985971575,0.7187990364002034,96,38
S1_syn3,0,0.6,>0.20,0.2365495308434305,0.6,15,5
S1_syn3,5,0.1,0.10-0.12,0.42357753170619566,0.37300639140958397,89,31
S1_syn3,5,0.1,0.12-0.15,0.5545120714744763,0.5369942376792712,127,56
S1_syn3,5,0.1,0.15-0.20,0.6078400648883809,0.6193449289455655,96,38
S1_syn3,5,0.1,>0.20,0.047309906168686106,0.2,15,5
S1_syn3,5,0.2,0.10-0.12,0.7415734319322581,0.7822966709878584,89,31
S1_syn3,5,0.2,0.12-0.15,0.839802331466036,0.8032287014161519,127,56
S1_syn3,5,0.2,0.15-0.20,0.6576124025291721,0.6591265719274206,96,38
S1_syn3,5,0.2,>0.20,0.047309906168686106,0.2,15,5
S1_syn3,5,0.3,0.10-0.12,0.8646337024407068,0.8911483354939291,89,31
S1_syn3,5,0.3,0.12-0.15,0.8974042871377117,0.8984958367839112,127,56
S1_syn3,5,0.3,0.15-0.20,0.7073847401699633,0.7187990364002034,96,38
S1_syn3,5,0.3,>0.20,0.18923962467474442,0.2,15,5
S1_syn3,5,0.6,0.10-0.12,0.9630819188474656,0.9637161118313097,89,31
S1_syn3,5,0.6,0.12-0.15,0.9325093642140805,0.9109698924805699,127,56
S1_syn3,5,0.6,0.15-0.20,0.8838645455048205,0.9204367140362897,96,38
S1_syn3,5,0.6,>0.20,0.28385943701211663,0.4,15,5
S1_syn3,10,0.1,0.10-0.12,0.3285777232844171,0.30043861507220343,89,31
S1_syn3,10,0.1,0.12-0.15,0.5959212477913765,0.5049532396162149,127,56
S1_syn3,10,0.1,0.15-0.20,0.6410216233155751,0.639235750436493,96,38
S1_syn3,10,0.1,>0.20,0.047309906168686106,0.2,15,5
S1_syn3,10,0.2,0.10-0.12,0.7415734319322581,0.746012782819168,89,31
S1_syn3,10,0.2,0.12-0.15,0.8299136513517916,0.8094657292644812,127,56
S1_syn3,10,0.2,0.15-0.20,0.7156801297767619,0.738689857891131,96,38
S1_syn3,10,0.2,>0.20,0.14192971850605832,0.4,15,5
S1_syn3,10,0.3,0.10-0.12,0.8892457565423962,0.9274322236626195,89,31
S1_syn3,10,0.3,0.12-0.15,0.910012485618774,0.8664548387208549,127,56
S1_syn3,10,0.3,0.15-0.20,0.7914769480339927,0.8806550710544345,96,38
S1_syn3,10,0.3,>0.20,0.2365495308434305,0.4,15,5
S1_syn3,10,0.6,0.10-0.12,0.9630819188474656,0.9637161118313097,89,31
S1_syn3,10,0.6,0.12-0.15,0.955006242809387,0.9109698924805699,127,56
S1_syn3,10,0.6,0.15-0.20,0.9336368831456118,0.9204367140362897,96,38
S1_syn3,10,0.6,>0.20,0.37847924934948884,0.8,15,5
S1_syn3,25,0.1,0.10-0.12,0.2530173569868578,0.2278708387348229,89,31
S1_syn3,25,0.1,0.12-0.15,0.6409150049819897,0.6002203749839744,127,56
S1_syn3,25,0.1,0.15-0.20,0.7073847401699633,0.6591265719274206,96,38
S1_syn3,25,0.1,>0.20,0.18923962467474442,0.2,15,5
S1_syn3,25,0.2,0.10-0.12,0.7890733361431476,0.8134968042952081,89,31
S1_syn3,25,0.2,0.12-0.15,0.861866678807895,0.8219397849611398,127,56
S1_syn3,25,0.2,0.15-0.20,0.7737478570243516,0.7187990364002034,96,38
S1_syn3,25,0.2,>0.20,0.37847924934948884,0.6,15,5
S1_syn3,25,0.3,0.10-0.12,0.8646337024407068,0.8548644473252389,89,31
S1_syn3,25,0.3,0.12-0.15,0.955006242809387,0.955484946240285,127,56
S1_syn3,25,0.3,0.15-0.20,0.7820432466311501,0.738689857891131,96,38
S1_syn3,25,0.3,>0.20,0.5204089678555471,1.0,15,5
S1_syn3,25,0.6,0.10-0.12,0.9753879458983106,1.0,89,31
