eps,delta,patience,mean_steps,recall,fp,n_pairs,n_strong_entries
0.001,0.01,1,33.43896713615023,0.9393939393939394,0.0,568,88
0.001,0.01,2,65.05575117370891,0.9583333333333334,0.0,568,88
0.001,0.01,3,74.07863849765259,0.9583333333333334,0.0,568,88
0.001,0.02,1,31.819248826291076,0.9242424242424243,0.0,568,88
0.001,0.02,2,61.34096244131456,0.9431818181818182,0.0,568,88
0.001,0.02,3,69.1637323943662,0.9431818181818182,0.0,568,88
0.001,0.05,1,25.997652582159628,0.9015151515151515,0.0,568,88
0.001,0.05,2,47.294600938967136,0.9204545454545454,0.0,568,88
0.001,0.05,3,52.18603286384977,0.9204545454545454,0.0,568,88
0.001,0.08,1,21.54636150234742,0.9015151515151515,0.0,568,88
0.001,0.08,2,36.232394366197184,0.9204545454545454,0.0,568,88
0.001,0.08,3,39.16079812206573,0.9204545454545454,0.0,568,88
0.002,0.01,1,22.124413145539904,0.9053030303030303,0.0,568,88
0.002,0.01,2,48.43016431924883,0.9583333333333334,0.0,568,88
0.002,0.01,3,63.600352112676056,0.9583333333333334,0.0,568,88
0.002,0.02,1,21.36737089201878,0.8901515151515151,0.0,568,88
0.002,0.02,2,46.19424882629108,0.9431818181818182,0.0,568,88
0.002,0.02,3,60.21420187793427,0.9431818181818182,0.0,568,88
0.002,0.05,1,18.485915492957744,0.8901515151515151,0.0,568,88
0.002,0.05,2,36.95129107981221,0.9204545454545454,0.0,568,88
0.002,0.05,3,46.637323943661976,0.9204545454545454,0.0,568,88
0.002,0.08,1,16.19424882629108,0.8901515151515151,0.0,568,88
0.002,0.08,2,29.71537558685446,0.9204545454545454,0.0,568,88
0.002,0.08,3,35.809859154929576,0.9204545454545454,0.0,568,88
0.005,0.01,1,12.124413145539906,0.8901515151515151,0.0,568,88
0.005,0.01,2,25.874413145539904,0.9431818181818182,0.0,568,88
0.005,0.01,3,38.421361502347416,0.9507575757575758,0.0,568,88
0.005,0.02,1,11.895539906103286,0.8901515151515151,0.0,568,88
0.005,0.02,2,24.967723004694836,0.9280303030303031,0.0,568,88
0.005,0.02,3,36.91607981220657,0.9356060606060607,0.0,568,88
0.005,0.05,1,11.050469483568074,0.8901515151515151,0.0,568,88
0.005,0.05,2,21.499413145539904,0.9053030303030303,0.0,568,88
0.005,0.05,3,30.622065727699532,0.912878787878788,0.0,568,88
0.005,0.08,1,10.267018779342722,0.8901515151515151,0.0,568,88
0.005,0.08,2,18.444835680751172,0.9053030303030303,0.0,568,88
0.005,0.08,3,25.33744131455399,0.912878787878788,0.0,568,88
0.01,0.01,1,7.978286384976525,0.8181818181818182,0.0,568,88
0.01,0.01,2,15.730633802816902,0.9318181818181818,0.0,568,88
0.01,0.01,3,23.010563380281692,0.9393939393939394,0.0,568,88
0.01,0.02,1,7.925469483568075,0.8181818181818182,0.0,568,88
0.01,0.02,2,15.3462441314554,0.9166666666666666,0.0,568,88
0.01,0.02,3,22.227112676056336,0.9242424242424242,0.0,568,88
0.01,0.05,1,7.696596244131455,0.8181818181818182,0.0,568,88
0.01,0.05,2,13.993544600938966,0.8939393939393939,0.0,568,88
0.01,0.05,3,19.465962441314552,0.9015151515151515,0.0,568,88
0.01,0.08,1,7.482394366197183,0.8181818181818182,0.0,568,88
0.01,0.08,2,12.761150234741784,0.8939393939393939,0.0,568,88
0.01,0.08,3,17.095070422535212,0.9015151515151515,0.0,568,88
