i,j,k,conf,v_triple_k25,syn3_k25_mixed,syn3_k25_consistent
14,38,42,net_actual_interchange_mw,0.5892539620399475,0.2365636825561524,0.22045856714248663
14,38,42,gross_actual_interchange_mw,0.2891214489936828,0.019255876541137695,0.007170915603637695
14,38,42,total_gen,0.8793252110481262,0.017241477966308594,0.00494915246963501
14,38,42,metered_load_mw,0.8733021020889282,0.018332242965698242,0.0029295682907104492
14,38,42,total_losses,0.3607985973358154,0.11472320556640628,0.08454704284667969
14,38,42,congestion_price_da,0.2245920300483703,0.1168350577354431,0.08220213651657102
14,38,42,congestion_price_rt,0.1690002083778381,0.0412487983703613,0.0021377205848694125
14,38,42,marginal_loss_price_da,0.6733076572418213,0.015523552894592285,0.01106274127960205
14,38,42,total_lmp_da,0.97706401348114,0.013536751270294078,-0.0021616220474244274
14,38,42,da_as_total_mw_primary_reserve,0.1763571500778198,0.09446227550506589,0.0560350418090821
14,38,42,da_as_total_mw_synchronized_reserve,0.1678991317749023,0.044471383094787584,0.020255088806152288
14,38,42,da_as_total_mw_thirty_minutes_reserve,0.4632726907730102,0.06817501783370972,0.061957538127899114
3,33,43,net_actual_interchange_mw,0.3322692513465881,0.068950355052948,0.0626336932182312
3,33,43,gross_actual_interchange_mw,0.6482856869697571,0.024866938591003418,0.00725024938583374
3,33,43,total_gen,0.5626503229141235,0.18763446807861334,0.154840350151062
3,33,43,metered_load_mw,0.5530438423156738,0.16032296419143682,0.14073330163955694
3,33,43,total_losses,0.3254790306091308,0.0811770558357239,0.0643544197082519
3,33,43,congestion_price_da,0.170791208744049,0.04841405153274529,0.04333502054214469
3,33,43,congestion_price_rt,0.127097487449646,0.0080654621124268,0.013804554939270103
3,33,43,marginal_loss_price_da,0.2085669040679931,0.0367661714553833,0.049987137317657415
3,33,43,total_lmp_da,0.3396905064582824,0.022096931934356634,0.022310912609100342
3,33,43,da_as_total_mw_primary_reserve,0.4722880125045776,0.011593461036682073,0.0036815404891967773
3,33,43,da_as_total_mw_synchronized_reserve,0.5368936061859131,0.014870643615722656,0.003000915050506592
3,33,43,da_as_total_mw_thirty_minutes_reserve,0.3691102266311645,0.06826198101043701,0.029653608798980713
4,9,14,net_actual_interchange_mw,0.3047217726707458,0.05089396238327021,0.024243652820587103
4,9,14,gross_actual_interchange_mw,0.1891150474548339,0.024801373481750405,0.009359598159790011
4,9,14,total_gen,0.9895024299621582,0.016852855682373047,-0.002982199192047008
4,9,14,metered_load_mw,0.9690460562705994,0.01949983835220337,-0.002352476119995006
4,9,14,total_losses,0.6904225945472717,0.19395232200622564,0.12874597311019897
4,9,14,congestion_price_da,0.1685312986373901,0.0283964276313782,0.000833511352539118
4,9,14,congestion_price_rt,0.1101433038711547,0.017221033573150607,0.005095064640045097
4,9,14,marginal_loss_price_da,0.4449024796485901,0.1712256669998169,0.0176380872726441
4,9,14,total_lmp_da,0.5493842959403992,0.13545101881027227,0.006111562252044678
4,9,14,da_as_total_mw_primary_reserve,0.2300504446029663,0.010193526744842613,-0.0008059144020080011
4,9,14,da_as_total_mw_synchronized_reserve,0.1448147892951965,0.035614728927612305,0.02195733785629271
4,9,14,da_as_total_mw_thirty_minutes_reserve,0.5975549221038818,0.06728899478912354,0.02449589967727661
11,14,17,net_actual_interchange_mw,0.1786127090454101,0.0679548978805542,0.057900369167327895
11,14,17,gross_actual_interchange_mw,0.2455006837844848,0.019000411033630316,0.011174917221069308
11,14,17,total_gen,0.8683212995529175,0.01946437358856201,0.0037126541137695312
11,14,17,metered_load_mw,0.8731676340103149,0.018732070922851562,0.003644108772277832
11,14,17,total_losses,0.5371484756469727,0.22191417217254644,0.19269198179244995
11,14,17,congestion_price_da,0.1741822957992553,0.03657048940658569,0.020774066448211587
11,14,17,congestion_price_rt,0.085817813873291,0.008531272411346505,0.0029823184013366977
11,14,17,marginal_loss_price_da,0.400904893875122,0.1415005326271057,0.09329169988632202
11,14,17,total_lmp_da,0.557066023349762,0.09897387027740479,0.03607058525085449
11,14,17,da_as_total_mw_primary_reserve,0.087907075881958,0.034112572669982896,0.024170935153961196
11,14,17,da_as_total_mw_synchronized_reserve,0.1328968405723571,0.0336006879806518,0.0227370858192444
11,14,17,da_as_total_mw_thirty_minutes_reserve,0.2678608894348144,0.0596702694892883,0.017171084880828802
3,32,43,net_actual_interchange_mw,0.31581711769104,0.06247740983963007,0.0682176351547241
3,32,43,gross_actual_interchange_mw,0.6465380191802979,0.02311927080154419,0.012725591659545898
3,32,43,total_gen,0.5571484565734863,0.16746652126312261,0.15442711114883423
3,32,43,metered_load_mw,0.5491093397140503,0.1528196930885315,0.1396389603614807
3,32,43,total_losses,0.3154564499855041,0.0762750506401062,0.0680671334266662
3,32,43,congestion_price_da,0.1724175810813903,0.0500404238700866,0.044961392879486
3,32,43,congestion_price_rt,0.1252555847167968,0.006223559379577595,0.018191158771514893
3,32,43,marginal_loss_price_da,0.2079760432243347,0.03617531061172488,0.049396276473998996
3,32,43,total_lmp_da,0.3396046161651611,0.022011041641235296,0.022225022315979004
3,32,43,da_as_total_mw_primary_reserve,0.4822958707809448,0.0071893334388733465,0.0008492469787598211
3,32,43,da_as_total_mw_synchronized_reserve,0.5394958853721619,0.009662151336669922,0.002519071102142334
3,32,43,da_as_total_mw_thirty_minutes_reserve,0.3725067973136902,0.04630452394485479,0.0323905348777771
1,11,40,net_actual_interchange_mw,0.3633554577827453,0.04291307926177973,0.020293772220611517
1,11,40,gross_actual_interchange_mw,0.2026922702789306,0.011832475662231418,0.008252561092376709
1,11,40,total_gen,0.9784768223762512,0.080502450466156,-0.004895389080047607
1,11,40,metered_load_mw,0.961287558078766,0.08762151002883922,0.0006098151206971325
1,11,40,total_losses,0.6646331548690796,0.2422251701354981,0.13186460733413696
1,11,40,congestion_price_da,0.1807985305786132,0.0063375830650329035,0.015408098697662298
1,11,40,congestion_price_rt,0.3968374729156494,0.020700037479400635,0.017473936080932617
1,11,40,marginal_loss_price_da,0.561556875705719,0.08517694473266602,0.048044025897979736
1,11,40,total_lmp_da,0.6747311353683472,0.07398390769958496,0.008096694946289062
1,11,40,da_as_total_mw_primary_reserve,0.1858897805213928,0.03582823276519778,0.013113141059875488
1,11,40,da_as_total_mw_synchronized_reserve,0.1510355472564697,0.0205843448638916,0.00946104526519781
1,11,40,da_as_total_mw_thirty_minutes_reserve,0.4469509720802307,0.08394074440002441,0.03525000810623169
4,14,18,net_actual_interchange_mw,0.3065470457077026,0.0537869930267334,0.026793718338012695
4,14,18,gross_actual_interchange_mw,0.1894763112068176,0.025162637233734103,0.00972086191177371
4,14,18,total_gen,0.98954576253891,0.016896188259124867,-0.002938866615295188
4,14,18,metered_load_mw,0.9690466523170472,0.019500434398651234,-0.0023518800735471412
4,14,18,total_losses,0.6912327408790588,0.19588333368301392,0.12955611944198608
4,14,18,congestion_price_da,0.1714987158775329,0.031363844871520996,0.0038009285926819125
4,14,18,congestion_price_rt,0.1082761287689209,0.015353858470916804,0.003227889537811293
4,14,18,marginal_loss_price_da,0.4370437264442444,0.1633669137954712,0.009779334068298395
4,14,18,total_lmp_da,0.5470847487449646,0.13690471649169922,0.0038120150566101074
4,14,18,da_as_total_mw_primary_reserve,0.2301717400550842,0.0126906037330628,0.00017529726028439607
4,14,18,da_as_total_mw_synchronized_reserve,0.1426059603691101,0.03340590000152591,0.015768349170684814
4,14,18,da_as_total_mw_thirty_minutes_reserve,0.5980180501937866,0.06775212287902832,0.024959027767181396
20,38,42,net_actual_interchange_mw,0.53465735912323,0.18196707963943487,0.1658619642257691
20,38,42,gross_actual_interchange_mw,0.3150274157524109,0.03642547130584717,0.015450596809387207
20,38,42,total_gen,0.9677688479423524,0.008298099040985218,0.00015956163406383173
20,38,42,metered_load_mw,0.975115180015564,0.008303046226501576,-0.0012841224670410156
20,38,42,total_losses,0.4841025471687317,0.05505251884460449,0.041559576988220215
20,38,42,congestion_price_da,0.2479510307312011,0.07688885927200309,0.0634036064147949
20,38,42,congestion_price_rt,0.1636040806770324,0.015052616596221896,-0.003258407115936307
20,38,42,marginal_loss_price_da,0.6817222833633423,0.016452431678771973,0.015839576721191406
20,38,42,total_lmp_da,0.9795145392417908,0.015987277030944824,-0.00027829408645640985
20,38,42,da_as_total_mw_primary_reserve,0.2412500977516174,0.04346698522567749,0.016690433025360107
20,38,42,da_as_total_mw_synchronized_reserve,0.16111421585083,0.04290860891342159,0.024033546447753906
20,38,42,da_as_total_mw_thirty_minutes_reserve,0.5681304335594177,0.05125319957733154,0.018338143825531006
11,14,43,net_actual_interchange_mw,0.1788104176521301,0.047992229461669894,0.046473503112792997
11,14,43,gross_actual_interchange_mw,0.6676411628723145,0.03497040271759033,0.020418286323547363
