population,estimator,retention,n_keep,recall,n_strong_triples
reported_pool_2000,k0,0.02,265,0.17692307692307693,130
reported_pool_2000,k25_mixed,0.02,265,0.14615384615384616,130
reported_pool_2000,k25_consistent,0.02,265,0.13076923076923078,130
reported_pool_2000,k0,0.05,662,0.38461538461538464,130
reported_pool_2000,k25_mixed,0.05,662,0.34615384615384615,130
reported_pool_2000,k25_consistent,0.05,662,0.4,130
reported_pool_2000,k0,0.1,1324,0.6076923076923076,130
reported_pool_2000,k25_mixed,0.1,1324,0.6,130
reported_pool_2000,k25_consistent,0.1,1324,0.6692307692307692,130
reported_pool_2000,k0,0.15,1987,0.7230769230769231,130
reported_pool_2000,k25_mixed,0.15,1987,0.7076923076923077,130
reported_pool_2000,k25_consistent,0.15,1987,0.7615384615384615,130
reported_pool_2000,k0,0.2,2649,0.7846153846153846,130
reported_pool_2000,k25_mixed,0.2,2649,0.7923076923076923,130
reported_pool_2000,k25_consistent,0.2,2649,0.8153846153846154,130
reported_pool_2000,k0,0.25,3311,0.823076923076923,130
reported_pool_2000,k25_mixed,0.25,3311,0.8384615384615385,130
reported_pool_2000,k25_consistent,0.25,3311,0.8307692307692308,130
reported_pool_2000,k0,0.3,3973,0.8461538461538461,130
reported_pool_2000,k25_mixed,0.3,3973,0.8461538461538461,130
reported_pool_2000,k25_consistent,0.3,3973,0.8461538461538461,130
