population,estimator,retention,n_keep,recall,estimated_strong_triples
stratified_population_estimate,k0,0.1,1324,0.617571062195062,1038.917777777778
stratified_population_estimate,k25_mixed,0.1,1324,0.6289894612556229,1038.917777777778
stratified_population_estimate,k25_consistent,0.1,1324,0.6790035785101162,1038.917777777778
stratified_population_estimate,k0,0.2,2649,0.7674813320699104,1038.917777777778
stratified_population_estimate,k25_mixed,0.2,2649,0.7780692729400037,1038.917777777778
stratified_population_estimate,k25_consistent,0.2,2649,0.7996414003460867,1038.917777777778
stratified_population_estimate,k0,0.30000000000000004,3973,0.8271208501153978,1038.917777777778
stratified_population_estimate,k25_mixed,0.30000000000000004,3973,0.8271208501153978,1038.917777777778
stratified_population_estimate,k25_consistent,0.30000000000000004,3973,0.8271208501153978,1038.917777777778
stratified_population_estimate,k0,0.4,5298,0.8495234357119481,1038.917777777778
stratified_population_estimate,k0,0.5,6622,0.8798905057185575,1038.917777777778
stratified_population_estimate,k0,0.6,7946,0.9268849208471208,1038.917777777778
stratified_population_estimate,k0,0.7000000000000001,9271,0.9376049436058461,1038.917777777778
stratified_population_estimate,k0,0.8,10595,0.9424176440013431,1038.917777777778
stratified_population_estimate,k0,0.9,11920,0.9668773916447243,1038.917777777778
