scope,estimator,n,rho,mae,bias,n_strong_entries,strong_true_mean,strong_est_mean,strong_threshold_detection
reported_pool_all,syn3_k0,24000,0.44946793289919673,0.019463400562604233,-0.01760888764758902,169,0.1166455491760073,0.06135078576894905,0.1301775147928994
stage2_covered_common,syn3_k0,6432,0.6363347793374684,0.020182035974602174,-0.018318465581877292,144,0.11568525971637827,0.07162910451491672,0.1527777777777778
stage2_covered_common,syn3_k25_mixed,6432,0.6808671422231528,0.01868399614421884,0.011830590832144511,144,0.11568525971637827,0.1215664769212405,0.8333333333333334
stage2_covered_common,syn3_k25_consistent,6432,0.8068902122860101,0.013333495604383969,-0.011087366569768687,144,0.11568525971637827,0.08732623938057157,0.24305555555555555
reported_pool_triple_max,syn3_k0,2000,0.7011334393561385,0.02462853527069091,-0.023250599145889277,130,0.11750852924126842,0.07042282315400927,0.16153846153846155
