K,spearman_raw,spearman_cal,top20_raw,top50_raw,mae_syn_raw,mae_syn_cal,time_per_subset
0,0.6707701651811698,0.6679001923093876,0.3,0.56,0.021768752472387225,0.018688332760791564,0.0
10,0.800696405185637,0.792277777632934,0.4,0.64,0.01580987979905382,0.014513511975246947,0.022568765312734277
50,0.896375342419102,0.8898499452571927,0.8,0.86,0.010619235540713283,0.010230008881904697,0.10369583982409852
100,0.9185643686143197,0.9150489503769216,0.8,0.94,0.008889621395389322,0.008510949409313975,0.204950185014744
200,0.9278813375609103,0.9273263410841825,0.85,0.96,0.008028382636275906,0.007836717848386436,0.405916744530803
500,0.9597372218441276,0.9597076988940707,0.95,0.96,0.0049348563596427735,0.004995356124951171,1.0079556884187642
