K,group,mae_raw,mae_cal,signed_raw
0,single,0.025404332939422493,0.019424351801196154,-0.02536500809770642
0,pair,0.049474784879931434,0.02905827773236844,-0.04943856662579033
10,single,0.01943594172145381,0.015865787304335282,-0.019327658821236004
10,pair,0.03643670947493761,0.02320598861796974,-0.0363623043331905
50,single,0.011427041933392033,0.012129327466028543,-0.011256681472966166
50,pair,0.021994718632032704,0.01771471949862761,-0.021757221688175805
100,single,0.009437878926595053,0.009655856253469692,-0.009173435695243605
100,pair,0.01750579972536821,0.014510349981592075,-0.017274659245135163
200,single,0.007720179855823517,0.0074822417604688725,-0.007455618092508027
200,pair,0.014980067552144129,0.011617713844444967,-0.01477301985529462
500,single,0.0048143294724551115,0.004621943919687938,-0.004540773277932947
500,pair,0.008087117516339204,0.006874162400428503,-0.0076829630768660345
