target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,19,2.852940797805786,0.9689250882738426
gross_actual_interchange_mw,19,2.8092501163482666,0.9540867160859129
total_gen,27,3.0692567825317383,0.9312526400169548
metered_load_mw,30,3.127164840698242,0.9194305680577719
total_losses,22,2.9478771686553955,0.9536838180441759
congestion_price_da,20,2.9816484451293945,0.9952987025746837
congestion_price_rt,19,2.803466558456421,0.9521224852314895
marginal_loss_price_da,23,3.0296177864074707,0.9662329373839064
total_lmp_da,29,3.199157476425171,0.9500672462264835
da_as_total_mw_primary_reserve,18,2.490727424621582,0.8617325497376592
da_as_total_mw_synchronized_reserve,15,2.3532345294952393,0.8689774393906892
da_as_total_mw_thirty_minutes_reserve,24,3.0791079998016357,0.9688659047869315
