数据集,规模,样本数,单目标DNN,多目标DNN,树模型,单目标更强占比,单目标被val选中占比,单目标减多目标均值
pjm,1,36,0.08660814,0.08574656,0.080262735,0.5,0.5833333333333334,0.0008615702390670776
pjm,2,1116,0.25315136,0.24878722,0.25789592,0.6863799283154122,0.7589605734767025,0.004364135675132275
pjm,3,16848,0.35861155,0.35007715,0.37460357,0.7507716049382716,0.8232431149097815,0.008534388616681099
caiso,1,36,0.24768583,0.24690792,0.23869504,0.6388888888888888,0.6666666666666666,0.0007778803701512516
caiso,2,1116,0.3249959,0.32252333,0.32655033,0.7311827956989247,0.8270609318996416,0.002472551539540291
caiso,3,16848,0.41787627,0.4123577,0.42469335,0.8243114909781576,0.8956552706552706,0.0055186026729643345
