数据集,估计器,V_MAE,V偏差,边际MAE,边际q95,M_MAE_K1,M偏差_K1,Kendall_K1,档位一致_K1,见证召回_K1,M_MAE_K2,M偏差_K2,Kendall_K2,档位一致_K2,见证召回_K2,τ0.7critical_recall_K1,τ0.7critical_prec_K1,τ0.7false_safe_K1,τ0.7critical_recall_K2,τ0.7critical_prec_K2,τ0.7false_safe_K2
pjm,"single-target φ+x,x²",0.039477315,-0.033259857,0.02798531,0.090445325,0.040851474,0.0056727305,0.7623298066624503,0.7947154471544715,0.5752032520325203,0.05142473,-0.0005939259,0.7589430894308943,0.7886178861788617,0.34959349593495936,0.7192982456140351,0.9879518072289156,0.2807017543859649,0.625748502994012,0.990521327014218,0.37425149700598803
pjm,"无 φ：x,x² ridge",0.08802434,-0.08636425,0.041516624,0.13171856,0.06864813,-0.067426376,0.7312317494962968,0.5934959349593496,0.5792682926829268,0.09231923,-0.08978608,0.7176113823647167,0.4959349593495935,0.20528455284552846,0.5526315789473685,1.0,0.4473684210526316,0.32335329341317365,1.0,0.6766467065868264
pjm,"multi-target φ+x,x²",0.031567276,-0.022180073,0.023714392,0.079093516,0.025252042,-0.00641144,0.8130081300813009,0.8780487804878049,0.6402439024390244,0.03068569,-0.018926648,0.7987804878048781,0.8719512195121951,0.3902439024390244,0.7807017543859649,0.978021978021978,0.21929824561403508,0.7005988023952096,0.9957446808510638,0.2994011976047904
pjm,"multi-target 三种子集成+x,x²",0.02797019,-0.016419828,0.021776006,0.0728165,0.027888414,0.002391201,0.8010723296940339,0.8658536585365854,0.6056910569105691,0.028600235,-0.0042989138,0.8148373983739837,0.8800813008130082,0.35365853658536583,0.8157894736842105,0.9789473684210527,0.18421052631578946,0.7634730538922155,0.99609375,0.23652694610778444
caiso,"single-target φ+x,x²",0.021586206,-0.018607773,0.016151436,0.05415692,0.013130037,-0.0102812005,0.9154471544715447,0.926829268292683,0.9390243902439024,0.021110915,-0.00920444,0.8886178861788618,0.8963414634146342,0.6117886178861789,0.9852941176470589,1.0,0.014705882352941176,0.911504424778761,0.9951690821256038,0.08849557522123894
caiso,"无 φ：x,x² ridge",0.065395676,-0.06502643,0.02929319,0.08930439,0.041822426,-0.039062936,0.8479674796747968,0.7642276422764228,0.7398373983739838,0.055067528,-0.049932137,0.8384146341463414,0.6605691056910569,0.4715447154471545,0.8088235294117647,1.0,0.19117647058823528,0.7389380530973452,1.0,0.2610619469026549
caiso,"multi-target φ+x,x²",0.016992446,-0.011643755,0.013533002,0.0486599,0.0106872935,-0.0061604516,0.9288617886178862,0.9390243902439024,0.9471544715447154,0.015578224,-0.013171168,0.9103658536585365,0.9105691056910569,0.7560975609756098,0.9926470588235294,0.9854014598540146,0.007352941176470588,0.9203539823008849,0.9952153110047847,0.07964601769911504
caiso,"multi-target 三种子集成+x,x²",0.0154660875,-0.008242994,0.012351588,0.045164414,0.00948873,-0.0043785824,0.9353658536585366,0.9573170731707317,0.9613821138211383,0.012782219,-0.00820261,0.9199186991869919,0.9349593495934959,0.7459349593495935,0.9926470588235294,0.9926470588235294,0.007352941176470588,0.9336283185840708,0.9906103286384976,0.06637168141592921
