数据集,估计器,每次查询ms,折算每集合12目标ms,训练秒
pjm,single-target（每目标一次查询）,3.876883010120933,46.522596121451194,
pjm,multi-target（一次查询给 12 目标）,4.42555736881944,4.42555736881944,
pjm,single-target 预学习（12 目标合计）,,,342.0710098743439
caiso,single-target（每目标一次查询）,5.000181309070148,60.002175708841776,
caiso,multi-target（一次查询给 12 目标）,5.643018361845601,5.643018361845601,
caiso,single-target 预学习（12 目标合计）,,,462.7991075515747
