数据集,目标,字段,pearson,spearman,nmi,sage,perm_importance
caiso,actual_load__mw__ca_iso_tac,dam_load_forecast__mw__pge_tac,0.7523943,0.7026394351450609,0.7677755973700702,0.11339809834957122,0.04118376970291138
caiso,actual_load__mw__ca_iso_tac,dam_load_forecast__mw__sce_tac,0.9036756,0.8674551718203374,1.000403141793516,0.08966547161340714,0.017213821411132812
caiso,actual_load__mw__ca_iso_tac,dam_load_forecast__mw__sdge_tac,0.5609382,0.4934828991938805,0.5328038095917993,0.01289145827293396,0.005532979965209961
caiso,actual_load__mw__ca_iso_tac,dam_load_forecast__mw__ca_iso_tac,0.85768616,0.802565204463476,1.0976893252192967,0.10028327286243438,0.022799432277679443
caiso,actual_load__mw__ca_iso_tac,actual_load__mw__pace,0.70533365,0.6905095320065214,0.35218816841970746,-0.004091490209102631,0.005444765090942383
caiso,actual_load__mw__ca_iso_tac,actual_load__mw__nevp,0.79112726,0.7664246542041669,0.5635933818286603,0.029686897695064544,0.009689271450042725
caiso,actual_load__mw__ca_iso_tac,actual_load__mw__azps,0.78850186,0.7087765335803391,0.5396532784157273,0.01542610913515091,0.0061133503913879395
caiso,actual_load__mw__ca_iso_tac,actual_renewable_generation__mw__np15__solar,0.33863512,0.3974644244824521,0.16713368848242105,0.016701582074165344,0.006698906421661377
caiso,actual_load__mw__ca_iso_tac,actual_renewable_generation__mw__np15__wind,0.218016,0.20955855397401682,0.051354428248216344,0.0031653055548667907,0.0017311573028564453
caiso,actual_load__mw__ca_iso_tac,actual_renewable_generation__mw__sp15__solar,0.28626835,0.34083597840974184,0.1563031008292337,0.10468646049499512,0.12153220176696777
caiso,actual_load__mw__ca_iso_tac,actual_renewable_generation__mw__sp15__wind,0.010652792,0.007689278231045892,0.02605357246504969,-0.0017997291684150696,0.0025631189346313477
caiso,actual_load__mw__ca_iso_tac,actual_renewable_generation__mw__zp26__solar,0.3406703,0.31785020445397755,0.18189693358052406,0.038141482174396515,0.013277530670166016
caiso,actual_load__mw__ca_iso_tac,actual_renewable_generation__mw__zp26__wind,0.1086662,0.1074984742971496,0.023229663157597003,-0.002018332779407501,0.001539766788482666
caiso,actual_load__mw__ca_iso_tac,dam_renewable_forecast__mw__np15__solar,0.2692232,0.32014206980339804,0.17274834318356014,-0.0035408002138137815,0.0060814619064331055
caiso,actual_load__mw__ca_iso_tac,dam_renewable_forecast__mw__np15__wind,0.2287552,0.21434761693159618,0.07145054796547434,0.001619654595851898,0.0008364319801330566
caiso,actual_load__mw__ca_iso_tac,dam_renewable_forecast__mw__sp15__solar,0.25121474,0.2984688730338056,0.17340180548827933,0.05036015391349793,0.05136847496032715
caiso,actual_load__mw__ca_iso_tac,dam_renewable_forecast__mw__sp15__wind,0.036811247,0.028142120052907775,0.03556421995538006,-0.0017063882946968078,0.000850379467010498
caiso,actual_load__mw__ca_iso_tac,dam_renewable_forecast__mw__zp26__solar,0.26311582,0.3145842386741647,0.17821268189322748,0.011135134696960449,0.004523277282714844
caiso,actual_load__mw__ca_iso_tac,dam_renewable_forecast__mw__zp26__wind,0.14827275,0.15238338555720468,0.020696103797986254,0.0070574072003364565,0.003157198429107666
caiso,actual_load__mw__ca_iso_tac,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,0.27356324,0.1641833121539295,0.20141529032054262,0.033683717250823975,0.029512107372283936
caiso,actual_load__mw__ca_iso_tac,dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd,0.27804416,0.18431158498073114,0.1288384584188389,0.011210446655750274,0.0077536702156066895
caiso,actual_load__mw__ca_iso_tac,dam_lmp__lmp_usd_per_mwh__th_zp26_gen_apnd,0.1693714,0.08075597622594043,0.18810293653310683,0.003637875020503998,0.026991665363311768
caiso,actual_load__mw__ca_iso_tac,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,0.2706082,0.17768995384882272,0.12563083684645537,0.00331821471452713,0.0033197402954101562
caiso,actual_load__mw__ca_iso_tac,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_sp15_gen_apnd,0.19882774,0.08627694121127323,0.12139451396715373,0.010600509345531464,0.007945060729980469
caiso,actual_load__mw__ca_iso_tac,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,0.16502732,0.061448637589236854,0.1362305160178412,0.005900043249130249,0.004989266395568848
caiso,actual_load__mw__ca_iso_tac,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,0.07443538,0.05040466801236024,0.06408477069532115,0.0024220454692840576,0.0028194189071655273
caiso,actual_load__mw__ca_iso_tac,actual_load__mw__bpat,0.25324917,0.2794482045630883,0.12835773571861342,-0.004408253133296966,0.004249215126037598
caiso,actual_load__mw__ca_iso_tac,dam_schedule__mw__load__tac_north,0.78722733,0.7399734352476538,0.7541042349197404,0.14121690660715103,0.04144233465194702
caiso,actual_load__mw__ca_iso_tac,dam_schedule__mw__load__tac_ecntr,0.89499277,0.8524261006604587,0.9815125751046887,0.1704825696349144,0.047655344009399414
caiso,actual_load__mw__ca_iso_tac,dam_schedule__mw__load__tac_south,0.44950673,0.37196508709795834,0.3371533945472427,0.033477033078670504,0.017677903175354004
caiso,actual_load__mw__ca_iso_tac,dam_as_requirement__mw__as_caiso_exp__regulation_mileage_up__minimum,0.14561418,0.18069086500481402,0.04072262187243325,-0.005707176029682159,0.002366304397583008
caiso,actual_load__mw__ca_iso_tac,dam_as_requirement__mw__as_caiso_exp__regulation_mileage_down__minimum,0.29997218,0.3720714933011581,0.13774427586788285,-0.003653845191001892,0.0007647871971130371
caiso,actual_load__mw__ca_iso_tac,dam_as_requirement__mw__as_caiso__regulation_up__minimum,0.14602122,0.22228360646211737,0.13966878096717705,-0.0008071306347846985,0.009664535522460938
caiso,actual_load__mw__ca_iso_tac,dam_as_requirement__mw__as_caiso__regulation_down__minimum,0.21789396,0.297573474552002,0.2874611739170261,0.021793954372406006,0.00794905424118042
caiso,actual_load__mw__ca_iso_tac,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,0.68051624,0.6439435780976317,0.757177432871714,0.16014779657125472,0.07684487104415894
caiso,actual_load__mw__ca_iso_tac,rtpd_eim_transfer__mw__export__bcha__malin500,0.057043586,0.05135392517802689,0.08925805823118527,0.0005083999037742615,0.0010977387428283691
caiso,actual_load__mw__ca_iso_tac,rtpd_eim_transfer__mw__export__banc__ranchoseco,0.15425798,0.16677543534834888,0.03198744719496194,0.0006479889154434205,0.0015614032745361328
caiso,actual_load__mw__ca_iso_tac,rtpd_eim_transfer__mw__import__nevp__eldorado230,0.041197732,0.000879877991790823,0.02825028585121636,-0.00030183225870132445,0.00039702653884887695
caiso,actual_load__mw__ca_iso_tac,rtpd_eim_transfer__mw__export__srp__pvwest,0.043022834,0.02127424042594061,0.113902602418678,0.0017919212579727173,0.003491818904876709
caiso,actual_load__mw__ca_iso_tac,rtpd_eim_transfer__mw__import__ladwp__sylmar,0.1554113,0.02736377207605183,0.08452640755494345,0.0026469314098358154,0.0009849071502685547
caiso,actual_load__mw__ca_iso_tac,rtpd_eim_transfer__mw__export__pge__malin500,0.099179074,0.1854944274003751,0.10829672422188619,0.0005726838111877442,0.001232743263244629
caiso,dam_schedule__mw__generation__caiso_totals,dam_load_forecast__mw__pge_tac,0.71578693,0.640316257855445,0.46664272618841185,0.10481225460767746,0.04671961069107056
caiso,dam_schedule__mw__generation__caiso_totals,dam_load_forecast__mw__sce_tac,0.89682853,0.8327423957132787,0.7594911361808157,0.08529297649860382,0.02873128652572632
caiso,dam_schedule__mw__generation__caiso_totals,dam_load_forecast__mw__sdge_tac,0.5248758,0.46230346188252436,0.3467115502098377,0.020027455389499665,0.00839221477508545
caiso,dam_schedule__mw__generation__caiso_totals,dam_load_forecast__mw__ca_iso_tac,0.83462036,0.7556143483203359,0.6190557752808088,0.09819359421730041,0.0296475887298584
caiso,dam_schedule__mw__generation__caiso_totals,actual_load__mw__pace,0.77729785,0.717078927363403,0.4472316681419439,-0.03661301344633103,0.015747010707855225
caiso,dam_schedule__mw__generation__caiso_totals,actual_load__mw__nevp,0.8342604,0.7656246782342573,0.5452679970592262,0.10891829580068588,0.034071505069732666
caiso,dam_schedule__mw__generation__caiso_totals,actual_load__mw__azps,0.8195944,0.7161556947063483,0.5310171263460575,0.0759139221906662,0.021536529064178467
caiso,dam_schedule__mw__generation__caiso_totals,actual_renewable_generation__mw__np15__solar,0.3873844,0.45857670033361,0.17976140916334105,0.02911046117544174,0.0173836350440979
caiso,dam_schedule__mw__generation__caiso_totals,actual_renewable_generation__mw__np15__wind,0.24697755,0.2289235489570934,0.05739669344460108,0.006305849850177765,0.004380226135253906
caiso,dam_schedule__mw__generation__caiso_totals,actual_renewable_generation__mw__sp15__solar,0.29579213,0.3598248924397702,0.14227344430327094,0.0686588904261589,0.05195164680480957
caiso,dam_schedule__mw__generation__caiso_totals,actual_renewable_generation__mw__sp15__wind,0.028293824,0.02927235516173811,0.016549803020902587,-9.065866470336915e-07,0.0032036304473876953
caiso,dam_schedule__mw__generation__caiso_totals,actual_renewable_generation__mw__zp26__solar,0.3621036,0.3522285984262395,0.15552657423535887,0.0046879035234451295,0.004069983959197998
caiso,dam_schedule__mw__generation__caiso_totals,actual_renewable_generation__mw__zp26__wind,0.094851665,0.09609246988339762,0.026945043156358928,0.0005680620670318604,0.0013301968574523926
caiso,dam_schedule__mw__generation__caiso_totals,dam_renewable_forecast__mw__np15__solar,0.33888477,0.39791550611415283,0.11224777462173163,0.0707262098789215,0.04813992977142334
caiso,dam_schedule__mw__generation__caiso_totals,dam_renewable_forecast__mw__np15__wind,0.25834027,0.23641196768180409,0.06295561711850794,0.008883204162120819,0.003345966339111328
caiso,dam_schedule__mw__generation__caiso_totals,dam_renewable_forecast__mw__sp15__solar,0.2733995,0.34918075687424366,0.10619872434314637,0.036176010966300964,0.022699475288391113
caiso,dam_schedule__mw__generation__caiso_totals,dam_renewable_forecast__mw__sp15__wind,0.0148054985,0.02193245634099568,0.02924244753135241,-0.00019351959228515624,0.002229928970336914
caiso,dam_schedule__mw__generation__caiso_totals,dam_renewable_forecast__mw__zp26__solar,0.31074464,0.3785329864607439,0.12448585648331978,0.004191229045391083,0.0038824081420898438
caiso,dam_schedule__mw__generation__caiso_totals,dam_renewable_forecast__mw__zp26__wind,0.11662477,0.12830633909724015,0.01718892950658457,0.0024971380829811097,0.0025199055671691895
caiso,dam_schedule__mw__generation__caiso_totals,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,0.24876095,0.18583843239459646,0.1848908683048478,0.046390811502933504,0.055621564388275146
caiso,dam_schedule__mw__generation__caiso_totals,dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd,0.25256586,0.20161458268642052,0.15468888283877735,0.03595611155033111,0.03753179311752319
