数据集,tau,指标,PR_AUC,同预算recall,false_safe,正例数,总数
pjm,0.5,Pearson |r|,0.8807643928930641,0.8197969543147208,0.18020304568527923,394,492
pjm,0.5,Spearman |ρ|,0.8946622113399468,0.8248730964467005,0.17512690355329952,394,492
pjm,0.5,NMI,0.9249731699336717,0.8451776649746193,0.15482233502538068,394,492
pjm,0.5,单字段 M^(0)（精确）,0.9066491401477859,0.8477157360406091,0.15228426395939088,394,492
pjm,0.5,全量模型 SAGE,0.8162790281808662,0.8096446700507615,0.19035532994923854,394,492
pjm,0.5,全量模型置换重要性,0.7792574504491732,0.7969543147208121,0.20304568527918787,394,492
pjm,0.5,估计 M^(1),0.9385139008414441,0.8451776649746193,0.15482233502538068,394,492
pjm,0.5,估计 M^(2),0.9386838721892967,0.8578680203045685,0.14213197969543145,394,492
pjm,0.5,精确 M^(2)（参考上界）,0.9236713876808664,0.8350253807106599,0.1649746192893401,394,492
pjm,0.7,Pearson |r|,0.8262915121556071,0.7181008902077152,0.28189910979228483,337,492
pjm,0.7,Spearman |ρ|,0.8289808451847813,0.7388724035608308,0.26112759643916916,337,492
pjm,0.7,NMI,0.8216858086669203,0.744807121661721,0.255192878338279,337,492
pjm,0.7,单字段 M^(0)（精确）,0.877323096687167,0.7833827893175074,0.21661721068249262,337,492
pjm,0.7,全量模型 SAGE,0.7296538257377692,0.6765578635014837,0.3234421364985163,337,492
pjm,0.7,全量模型置换重要性,0.6746472771122195,0.6676557863501483,0.33234421364985167,337,492
pjm,0.7,估计 M^(1),0.8883179533449916,0.7477744807121661,0.2522255192878339,337,492
pjm,0.7,估计 M^(2),0.8772395836262785,0.7596439169139466,0.24035608308605338,337,492
pjm,0.7,精确 M^(2)（参考上界）,0.885185450112993,0.7685459940652819,0.2314540059347181,337,492
pjm,0.9,Pearson |r|,0.4587239028530214,0.4418604651162791,0.5581395348837209,86,492
pjm,0.9,Spearman |ρ|,0.45876744377437767,0.43023255813953487,0.5697674418604651,86,492
pjm,0.9,NMI,0.43835651391785174,0.36046511627906974,0.6395348837209303,86,492
pjm,0.9,单字段 M^(0)（精确）,0.4796498947802361,0.4418604651162791,0.5581395348837209,86,492
pjm,0.9,全量模型 SAGE,0.2828749268310389,0.3023255813953488,0.6976744186046512,86,492
pjm,0.9,全量模型置换重要性,0.16506600328410162,0.18604651162790697,0.813953488372093,86,492
pjm,0.9,估计 M^(1),0.6009827002175868,0.5465116279069767,0.4534883720930233,86,492
pjm,0.9,估计 M^(2),0.5726867235522785,0.5232558139534884,0.4767441860465116,86,492
pjm,0.9,精确 M^(2)（参考上界）,0.5656421271108514,0.4883720930232558,0.5116279069767442,86,492
caiso,0.5,Pearson |r|,0.8967654771360019,0.7921052631578948,0.20789473684210524,380,492
caiso,0.5,Spearman |ρ|,0.8946642419190898,0.7973684210526316,0.20263157894736838,380,492
caiso,0.5,NMI,0.9240481751699492,0.8421052631578947,0.1578947368421053,380,492
caiso,0.5,单字段 M^(0)（精确）,0.9155098268359592,0.8236842105263158,0.1763157894736842,380,492
caiso,0.5,全量模型 SAGE,0.8322579491716129,0.7605263157894737,0.23947368421052628,380,492
caiso,0.5,全量模型置换重要性,0.7977551059958482,0.75,0.25,380,492
caiso,0.5,估计 M^(1),0.9409395379187,0.8578947368421053,0.14210526315789473,380,492
caiso,0.5,估计 M^(2),0.9438840182677635,0.8657894736842106,0.13421052631578945,380,492
caiso,0.5,精确 M^(2)（参考上界）,0.9455445094109531,0.8578947368421053,0.14210526315789473,380,492
caiso,0.7,Pearson |r|,0.7286177052214102,0.6382113821138211,0.3617886178861789,246,492
caiso,0.7,Spearman |ρ|,0.7474091912498557,0.6300813008130082,0.36991869918699183,246,492
caiso,0.7,NMI,0.7692370722261692,0.6910569105691057,0.3089430894308943,246,492
caiso,0.7,单字段 M^(0)（精确）,0.7637525270623395,0.6585365853658537,0.3414634146341463,246,492
caiso,0.7,全量模型 SAGE,0.5936191577888025,0.540650406504065,0.45934959349593496,246,492
caiso,0.7,全量模型置换重要性,0.46021179642428967,0.4024390243902439,0.5975609756097561,246,492
caiso,0.7,估计 M^(1),0.8227761994217742,0.7235772357723578,0.2764227642276422,246,492
caiso,0.7,估计 M^(2),0.8286517944543841,0.7235772357723578,0.2764227642276422,246,492
caiso,0.7,精确 M^(2)（参考上界）,0.8305477416454492,0.7276422764227642,0.27235772357723576,246,492
caiso,0.9,Pearson |r|,0.4658459140735689,0.3652173913043478,0.6347826086956522,115,492
caiso,0.9,Spearman |ρ|,0.42212573357494254,0.34782608695652173,0.6521739130434783,115,492
caiso,0.9,NMI,0.3633066297970828,0.34782608695652173,0.6521739130434783,115,492
caiso,0.9,单字段 M^(0)（精确）,0.4540763005216717,0.3826086956521739,0.6173913043478261,115,492
caiso,0.9,全量模型 SAGE,0.3071404814771473,0.33043478260869563,0.6695652173913044,115,492
caiso,0.9,全量模型置换重要性,0.18130602290709774,0.14782608695652175,0.8521739130434782,115,492
caiso,0.9,估计 M^(1),0.5316035929355906,0.5130434782608696,0.4869565217391304,115,492
caiso,0.9,估计 M^(2),0.54911993172297,0.5130434782608696,0.4869565217391304,115,492
caiso,0.9,精确 M^(2)（参考上界）,0.5485397651631944,0.5304347826086957,0.4695652173913043,115,492
