数据集,tau,指标,PR_AUC,同预算recall,正例数,候选数
pjm,0.5,Pearson |r|,0.8553061777671591,0.8054794520547945,365,463
pjm,0.5,Spearman |ρ|,0.8732123280578199,0.810958904109589,365,463
pjm,0.5,NMI,0.9095725765690709,0.8328767123287671,365,463
pjm,0.5,单字段 M^(0)（精确）,0.8875919108750697,0.8356164383561644,365,463
pjm,0.5,全量模型 SAGE,0.7763196373680176,0.7945205479452054,365,463
pjm,0.5,全量模型置换重要性,0.7496565159461358,0.7808219178082192,365,463
pjm,0.5,估计 M^(1),0.9273719296932991,0.8328767123287671,365,463
pjm,0.5,估计 M^(2),0.9274606834251793,0.8465753424657534,365,463
pjm,0.5,精确 M^(2)（参考上界）,0.9094405944084322,0.821917808219178,365,463
pjm,0.7,Pearson |r|,0.8121965988059361,0.7085889570552147,326,481
pjm,0.7,Spearman |ρ|,0.8145209103417745,0.7300613496932515,326,481
pjm,0.7,NMI,0.8054947031613033,0.7361963190184049,326,481
pjm,0.7,单字段 M^(0)（精确）,0.8673036352431295,0.7760736196319018,326,481
pjm,0.7,全量模型 SAGE,0.7079586869077752,0.6656441717791411,326,481
pjm,0.7,全量模型置换重要性,0.6582094782008805,0.656441717791411,326,481
pjm,0.7,估计 M^(1),0.8801413870905521,0.7392638036809815,326,481
pjm,0.7,估计 M^(2),0.8678122998541707,0.7515337423312883,326,481
pjm,0.7,精确 M^(2)（参考上界）,0.876316859552418,0.7607361963190185,326,481
caiso,0.5,Pearson |r|,0.8626712176735802,0.764179104477612,335,447
caiso,0.5,Spearman |ρ|,0.8596017834745777,0.7701492537313432,335,447
caiso,0.5,NMI,0.893747971183701,0.8208955223880597,335,447
caiso,0.5,单字段 M^(0)（精确）,0.8870806134859579,0.8,335,447
caiso,0.5,全量模型 SAGE,0.7940407264335202,0.7343283582089553,335,447
caiso,0.5,全量模型置换重要性,0.7724330964632798,0.7283582089552239,335,447
caiso,0.5,估计 M^(1),0.9221319077795262,0.8388059701492537,335,447
caiso,0.5,估计 M^(2),0.9256449247055982,0.8477611940298507,335,447
caiso,0.5,精确 M^(2)（参考上界）,0.9280993954269151,0.8388059701492537,335,447
caiso,0.7,Pearson |r|,0.6793399298732259,0.6096491228070176,228,474
caiso,0.7,Spearman |ρ|,0.7042717500678937,0.6008771929824561,228,474
caiso,0.7,NMI,0.7173868413654767,0.6666666666666666,228,474
caiso,0.7,单字段 M^(0)（精确）,0.7225212559209326,0.631578947368421,228,474
caiso,0.7,全量模型 SAGE,0.542601083124054,0.5131578947368421,228,474
caiso,0.7,全量模型置换重要性,0.4240923232913571,0.3684210526315789,228,474
caiso,0.7,估计 M^(1),0.7921124960888557,0.7017543859649122,228,474
caiso,0.7,估计 M^(2),0.7994111687340926,0.7017543859649122,228,474
caiso,0.7,精确 M^(2)（参考上界）,0.8022308674592404,0.706140350877193,228,474
