group,fi,fj,fk,conf,v_ijk_true,best_pair,syn3_true,syn3_est
triple_top,gen_fuel_gas_mw,gen_fuel_gas_pct,forecast_load_mw_latest_available,congestion_price_da,0.18002676963806152,0.16808480024337769,0.011941969394683838,
triple_top,gen_fuel_gas_mw,gen_fuel_gas_pct,forecast_load_mw_latest_available,congestion_price_rt,0.16470187902450562,0.12840723991394043,0.036294639110565186,
triple_top,gen_fuel_gas_mw,gen_fuel_gas_pct,forecast_load_mw_latest_available,da_as_total_mw_primary_reserve,0.21049648523330688,0.1429244875907898,0.06757199764251709,
triple_top,gen_fuel_gas_mw,gen_fuel_gas_pct,forecast_load_mw_latest_available,da_as_total_mw_synchronized_reserve,0.21869206428527832,0.1546676754951477,0.06402438879013062,
triple_top,gen_fuel_gas_mw,gen_fuel_gas_pct,forecast_load_mw_latest_available,da_as_total_mw_thirty_minutes_reserve,0.520875871181488,0.35542815923690796,0.16544771194458008,0.1396640539169311
triple_top,gen_fuel_gas_mw,gen_fuel_gas_pct,forecast_load_mw_latest_available,gross_actual_interchange_mw,0.21711105108261108,0.19517511129379272,0.02193593978881836,
triple_top,gen_fuel_gas_mw,gen_fuel_gas_pct,forecast_load_mw_latest_available,marginal_loss_price_da,0.5381852388381958,0.4561617970466614,0.08202344179153442,
triple_top,gen_fuel_gas_mw,gen_fuel_gas_pct,forecast_load_mw_latest_available,metered_load_mw,0.9915360808372498,0.9909893274307251,0.0005467534065246582,
triple_top,gen_fuel_gas_mw,gen_fuel_gas_pct,forecast_load_mw_latest_available,net_actual_interchange_mw,0.6930403709411621,0.23832601308822632,0.4547143578529358,0.4212613701820373
triple_top,gen_fuel_gas_mw,gen_fuel_gas_pct,forecast_load_mw_latest_available,total_gen,0.9956321120262146,0.9949229955673218,0.0007091164588928223,
triple_top,gen_fuel_gas_mw,gen_fuel_gas_pct,forecast_load_mw_latest_available,total_lmp_da,0.6501132845878601,0.5786833763122559,0.07142990827560425,
triple_top,gen_fuel_gas_mw,gen_fuel_gas_pct,forecast_load_mw_latest_available,total_losses,0.5661243200302124,0.5580329298973083,0.008091390132904053,
triple_top,gen_fuel_nuclear_mw,gen_fuel_nuclear_pct,forecast_load_mw_latest_available,congestion_price_da,0.22292214632034302,0.21451932191848755,0.008402824401855469,
triple_top,gen_fuel_nuclear_mw,gen_fuel_nuclear_pct,forecast_load_mw_latest_available,congestion_price_rt,0.20174044370651245,0.1914595365524292,0.010280907154083252,
triple_top,gen_fuel_nuclear_mw,gen_fuel_nuclear_pct,forecast_load_mw_latest_available,da_as_total_mw_primary_reserve,0.2716245651245117,0.23419255018234253,0.03743201494216919,
triple_top,gen_fuel_nuclear_mw,gen_fuel_nuclear_pct,forecast_load_mw_latest_available,da_as_total_mw_synchronized_reserve,0.2374904751777649,0.1548982858657837,0.0825921893119812,
triple_top,gen_fuel_nuclear_mw,gen_fuel_nuclear_pct,forecast_load_mw_latest_available,da_as_total_mw_thirty_minutes_reserve,0.6627010703086853,0.6350648403167725,0.027636229991912842,
triple_top,gen_fuel_nuclear_mw,gen_fuel_nuclear_pct,forecast_load_mw_latest_available,gross_actual_interchange_mw,0.26434439420700073,0.22612732648849487,0.03821706771850586,
