fi,fj,conf,vi,vj,vij,synergy
gen_fuel_wind_mw,gen_fuel_wind_pct,total_gen,0.06381911039352417,0.16232699155807495,0.9277228713035583,0.7653958797454834
gen_fuel_wind_mw,gen_fuel_wind_pct,metered_load_mw,0.05862534046173096,0.15272825956344604,0.9033136367797852,0.7505853772163391
gen_fuel_multiple_fuels_mw,gen_fuel_multiple_fuels_pct,total_gen,0.20103096961975098,0.07786953449249268,0.8967261910438538,0.6956952214241028
gen_fuel_hydro_mw,gen_fuel_hydro_pct,total_gen,0.2920975089073181,0.134610116481781,0.9572354555130005,0.6651379466056824
gen_fuel_hydro_mw,gen_fuel_hydro_pct,metered_load_mw,0.30317986011505127,0.1477542519569397,0.9378923177719116,0.6347124576568604
gen_fuel_multiple_fuels_mw,gen_fuel_multiple_fuels_pct,metered_load_mw,0.24160516262054443,0.09084552526473999,0.872573733329773,0.6309685707092285
gen_fuel_solar_mw,gen_fuel_solar_pct,total_gen,0.005708634853363037,0.09924405813217163,0.6954154968261719,0.5961714386940002
gen_fuel_solar_mw,gen_fuel_solar_pct,metered_load_mw,0.00513768196105957,0.10928517580032349,0.6921793222427368,0.5828941464424133
gen_fuel_wind_mw,gen_fuel_wind_pct,total_losses,0.06751734018325806,0.0439184308052063,0.5919520258903503,0.5244346857070923
gen_fuel_solar_mw,gen_fuel_solar_pct,total_lmp_da,0.016580581665039062,0.06595587730407715,0.4732276201248169,0.40727174282073975
gen_fuel_other_renewables_mw,gen_fuel_other_renewables_pct,total_gen,0.12398773431777954,0.49746382236480713,0.904022216796875,0.40655839443206787
gen_fuel_other_renewables_mw,gen_fuel_other_renewables_pct,metered_load_mw,0.11154192686080933,0.4960640072822571,0.8797348141670227,0.3836708068847656
gen_fuel_nuclear_mw,system_energy_price_da,metered_load_mw,0.44651031494140625,0.45412468910217285,0.8309510350227356,0.37682634592056274
da_as_as_req_mw_primary_reserve,da_as_nsr_mw_primary_reserve,da_as_total_mw_synchronized_reserve,0.5380032062530518,0.3535104990005493,0.9116191864013672,0.37361598014831543
gen_fuel_nuclear_mw,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.32609856128692627,0.33354824781417847,0.7070047855377197,0.37345653772354126
da_as_as_req_mw_synchronized_reserve,da_as_nsr_mw_primary_reserve,da_as_total_mw_synchronized_reserve,0.5383810997009277,0.3535104990005493,0.9118130803108215,0.3734319806098938
da_as_as_req_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,da_as_total_mw_synchronized_reserve,0.5351821780204773,0.3535104990005493,0.9071090221405029,0.37192684412002563
gen_fuel_wind_mw,gen_fuel_wind_pct,total_lmp_da,0.01505964994430542,0.03623545169830322,0.4030535817146301,0.3668181300163269
gen_fuel_oil_mw,gen_fuel_oil_pct,total_gen,0.49987512826919556,0.37591493129730225,0.8657867908477783,0.36591166257858276
gen_fuel_wind_mw,gen_fuel_wind_pct,marginal_loss_price_da,0.010466456413269043,0.02281862497329712,0.3675476908683777,0.34472906589508057
gen_fuel_multiple_fuels_mw,gen_fuel_multiple_fuels_pct,total_lmp_da,0.2158563733100891,0.0910918116569519,0.5506221055984497,0.3347657322883606
gen_fuel_hydro_mw,gen_fuel_hydro_pct,total_losses,0.0673026442527771,0.05296975374221802,0.40110689401626587,0.33380424976348877
gen_fuel_nuclear_mw,system_energy_price_da,total_gen,0.49834293127059937,0.38641905784606934,0.8255610466003418,0.32721811532974243
gen_fuel_oil_mw,gen_fuel_oil_pct,metered_load_mw,0.523318886756897,0.40700364112854004,0.8502040505409241,0.3268851637840271
gen_fuel_gas_mw,system_energy_price_da,net_actual_interchange_mw,0.12772011756896973,0.1043824553489685,0.44575101137161255,0.3180308938026428
gen_fuel_hydro_mw,gen_fuel_hydro_pct,total_lmp_da,0.294400691986084,0.16380774974822998,0.6098039150238037,0.3154032230377197
da_as_as_req_mw_synchronized_reserve,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.4577239751815796,0.6346538066864014,0.949905514717102,0.3152517080307007
da_as_as_req_mw_primary_reserve,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.4577754735946655,0.6346538066864014,0.9494425654411316,0.3147887587547302
da_as_as_req_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.44902098178863525,0.6346538066864014,0.9457998275756836,0.3111460208892822
gen_fuel_nuclear_mw,forecast_load_mw_latest_available,da_as_total_mw_thirty_minutes_reserve,0.32609856128692627,0.25656718015670776,0.6350648403167725,0.3089662790298462
