i,j,fi,fj,conf,vi,vj,vij,max_single,synergy
13,36,gen_fuel_multiple_fuels_pct,da_as_ss_mw_thirty_minutes_reserve,congestion_price_da,0.016123175621032715,0.009830892086029053,0.03288924694061279,0.016123175621032715,0.016766071319580078
13,36,gen_fuel_multiple_fuels_pct,da_as_ss_mw_thirty_minutes_reserve,congestion_price_rt,0.09291130304336548,0.00437551736831665,0.10290628671646118,0.09291130304336548,0.009994983673095703
13,36,gen_fuel_multiple_fuels_pct,da_as_ss_mw_thirty_minutes_reserve,da_as_total_mw_primary_reserve,0.06254088878631592,0.002306044101715088,0.08193600177764893,0.06254088878631592,0.019395112991333008
13,36,gen_fuel_multiple_fuels_pct,da_as_ss_mw_thirty_minutes_reserve,da_as_total_mw_synchronized_reserve,0.02466714382171631,0.01885432004928589,0.06893324851989746,0.02466714382171631,0.04426610469818115
13,36,gen_fuel_multiple_fuels_pct,da_as_ss_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,0.2204851508140564,0.022654592990875244,0.24225503206253052,0.2204851508140564,0.02176988124847412
13,36,gen_fuel_multiple_fuels_pct,da_as_ss_mw_thirty_minutes_reserve,gross_actual_interchange_mw,0.011740148067474365,0.03597426414489746,0.0486987829208374,0.03597426414489746,0.012724518775939941
13,36,gen_fuel_multiple_fuels_pct,da_as_ss_mw_thirty_minutes_reserve,marginal_loss_price_da,0.04114717245101929,0.019681036472320557,0.07023513317108154,0.04114717245101929,0.029087960720062256
13,36,gen_fuel_multiple_fuels_pct,da_as_ss_mw_thirty_minutes_reserve,metered_load_mw,0.09084552526473999,0.05414462089538574,0.1485452651977539,0.09084552526473999,0.057699739933013916
13,36,gen_fuel_multiple_fuels_pct,da_as_ss_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.1564098596572876,0.009338974952697754,0.17302221059799194,0.1564098596572876,0.016612350940704346
13,36,gen_fuel_multiple_fuels_pct,da_as_ss_mw_thirty_minutes_reserve,total_gen,0.07786953449249268,0.04809325933456421,0.1292438507080078,0.07786953449249268,0.05137431621551514
13,36,gen_fuel_multiple_fuels_pct,da_as_ss_mw_thirty_minutes_reserve,total_lmp_da,0.0910918116569519,0.03524196147918701,0.13386577367782593,0.0910918116569519,0.04277396202087402
13,36,gen_fuel_multiple_fuels_pct,da_as_ss_mw_thirty_minutes_reserve,total_losses,0.008991897106170654,0.04991781711578369,0.07059943675994873,0.04991781711578369,0.02068161964416504
16,35,gen_fuel_other_renewables_pct,da_as_ss_mw_synchronized_reserve,congestion_price_da,0.05497288703918457,0.009830892086029053,0.06904077529907227,0.05497288703918457,0.014067888259887695
16,35,gen_fuel_other_renewables_pct,da_as_ss_mw_synchronized_reserve,congestion_price_rt,0.05537647008895874,0.00437551736831665,0.05620497465133667,0.05537647008895874,0.0008285045623779297
16,35,gen_fuel_other_renewables_pct,da_as_ss_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.03245061635971069,0.002306044101715088,0.036716341972351074,0.03245061635971069,0.004265725612640381
16,35,gen_fuel_other_renewables_pct,da_as_ss_mw_synchronized_reserve,da_as_total_mw_synchronized_reserve,0.09836620092391968,0.01885432004928589,0.11559873819351196,0.09836620092391968,0.017232537269592285
16,35,gen_fuel_other_renewables_pct,da_as_ss_mw_synchronized_reserve,da_as_total_mw_thirty_minutes_reserve,0.04945182800292969,0.022654592990875244,0.09000325202941895,0.04945182800292969,0.04055142402648926
16,35,gen_fuel_other_renewables_pct,da_as_ss_mw_synchronized_reserve,gross_actual_interchange_mw,0.048130571842193604,0.03597426414489746,0.08180147409439087,0.048130571842193604,0.033670902252197266
16,35,gen_fuel_other_renewables_pct,da_as_ss_mw_synchronized_reserve,marginal_loss_price_da,0.17296117544174194,0.019681036472320557,0.19532477855682373,0.17296117544174194,0.022363603115081787
16,35,gen_fuel_other_renewables_pct,da_as_ss_mw_synchronized_reserve,metered_load_mw,0.4960640072822571,0.05414462089538574,0.5401831865310669,0.4960640072822571,0.044119179248809814
16,35,gen_fuel_other_renewables_pct,da_as_ss_mw_synchronized_reserve,net_actual_interchange_mw,0.044686079025268555,0.009338974952697754,0.06369614601135254,0.044686079025268555,0.019010066986083984
16,35,gen_fuel_other_renewables_pct,da_as_ss_mw_synchronized_reserve,total_gen,0.49746382236480713,0.04809325933456421,0.5368744730949402,0.49746382236480713,0.03941065073013306
16,35,gen_fuel_other_renewables_pct,da_as_ss_mw_synchronized_reserve,total_lmp_da,0.2161412239074707,0.03524196147918701,0.25769901275634766,0.2161412239074707,0.04155778884887695
16,35,gen_fuel_other_renewables_pct,da_as_ss_mw_synchronized_reserve,total_losses,0.13768547773361206,0.04991781711578369,0.18568378686904907,0.13768547773361206,0.04799830913543701
10,41,gen_fuel_coal_pct,net_inadv_interchange_mw,congestion_price_da,0.06144082546234131,0.00862109661102295,0.06731128692626953,0.06144082546234131,0.005870461463928223
10,41,gen_fuel_coal_pct,net_inadv_interchange_mw,congestion_price_rt,0.016906142234802246,0.0,0.016042709350585938,0.016906142234802246,-0.0008634328842163086
10,41,gen_fuel_coal_pct,net_inadv_interchange_mw,da_as_total_mw_primary_reserve,0.09933358430862427,0.002910792827606201,0.10323917865753174,0.09933358430862427,0.0039055943489074707
10,41,gen_fuel_coal_pct,net_inadv_interchange_mw,da_as_total_mw_synchronized_reserve,0.09752583503723145,0.004324376583099365,0.10178744792938232,0.09752583503723145,0.004261612892150879
10,41,gen_fuel_coal_pct,net_inadv_interchange_mw,da_as_total_mw_thirty_minutes_reserve,0.10534495115280151,0.0014987587928771973,0.10850894451141357,0.10534495115280151,0.0031639933586120605
10,41,gen_fuel_coal_pct,net_inadv_interchange_mw,gross_actual_interchange_mw,0.13028836250305176,0.013649582862854004,0.1383954882621765,0.13028836250305176,0.008107125759124756
10,41,gen_fuel_coal_pct,net_inadv_interchange_mw,marginal_loss_price_da,0.11547493934631348,0.0013442039489746094,0.11774969100952148,0.11547493934631348,0.002274751663208008
10,41,gen_fuel_coal_pct,net_inadv_interchange_mw,metered_load_mw,0.4560498595237732,0.02826148271560669,0.4655725359916687,0.4560498595237732,0.009522676467895508
10,41,gen_fuel_coal_pct,net_inadv_interchange_mw,net_actual_interchange_mw,0.18714678287506104,0.002403557300567627,0.19259464740753174,0.18714678287506104,0.005447864532470703
10,41,gen_fuel_coal_pct,net_inadv_interchange_mw,total_gen,0.4666628837585449,0.028552234172821045,0.4764619469642639,0.4666628837585449,0.009799063205718994
10,41,gen_fuel_coal_pct,net_inadv_interchange_mw,total_lmp_da,0.14492470026016235,0.019642651081085205,0.15736043453216553,0.14492470026016235,0.012435734272003174
10,41,gen_fuel_coal_pct,net_inadv_interchange_mw,total_losses,0.4684503674507141,0.006940364837646484,0.4718528389930725,0.4684503674507141,0.0034024715423583984
9,22,gen_fuel_wind_mw,rmpcp,congestion_price_da,0.001438140869140625,0.008427202701568604,0.021100997924804688,0.008427202701568604,0.012673795223236084
9,22,gen_fuel_wind_mw,rmpcp,congestion_price_rt,0.0,0.0012340545654296875,0.005469679832458496,0.0012340545654296875,0.004235625267028809
9,22,gen_fuel_wind_mw,rmpcp,da_as_total_mw_primary_reserve,0.013137102127075195,0.04390239715576172,0.0632784366607666,0.04390239715576172,0.019376039505004883
9,22,gen_fuel_wind_mw,rmpcp,da_as_total_mw_synchronized_reserve,0.04465889930725098,0.028396427631378174,0.07077676057815552,0.04465889930725098,0.02611786127090454
9,22,gen_fuel_wind_mw,rmpcp,da_as_total_mw_thirty_minutes_reserve,0.004697144031524658,0.11270171403884888,0.1318466067314148,0.11270171403884888,0.019144892692565918
9,22,gen_fuel_wind_mw,rmpcp,gross_actual_interchange_mw,0.0029131174087524414,0.002774834632873535,0.008178412914276123,0.0029131174087524414,0.005265295505523682
9,22,gen_fuel_wind_mw,rmpcp,marginal_loss_price_da,0.010466456413269043,0.0055487751960754395,0.019146382808685303,0.010466456413269043,0.00867992639541626
9,22,gen_fuel_wind_mw,rmpcp,metered_load_mw,0.05862534046173096,0.06067079305648804,0.11722034215927124,0.06067079305648804,0.0565495491027832
9,22,gen_fuel_wind_mw,rmpcp,net_actual_interchange_mw,0.021718144416809082,0.06518048048019409,0.09196877479553223,0.06518048048019409,0.026788294315338135
9,22,gen_fuel_wind_mw,rmpcp,total_gen,0.06381911039352417,0.06757903099060059,0.12970465421676636,0.06757903099060059,0.06212562322616577
9,22,gen_fuel_wind_mw,rmpcp,total_lmp_da,0.01505964994430542,0.017649292945861816,0.0409054160118103,0.017649292945861816,0.023256123065948486
9,22,gen_fuel_wind_mw,rmpcp,total_losses,0.06751734018325806,0.01192474365234375,0.08679407835006714,0.06751734018325806,0.019276738166809082
9,36,gen_fuel_wind_mw,da_as_ss_mw_thirty_minutes_reserve,congestion_price_da,0.001438140869140625,0.009830892086029053,0.011510848999023438,0.009830892086029053,0.0016799569129943848
