field,field_type,s_init,label,is_labeled,score
congestion_price_rt,confidential,1.0,1.0,True,0.99891615
da_as_total_mw_primary_reserve,confidential,1.0,1.0,True,0.996403
congestion_price_da,confidential,1.0,1.0,True,0.9962069
da_as_total_mw_synchronized_reserve,confidential,1.0,1.0,True,0.99589974
total_lmp_da,confidential,1.0,1.0,True,0.9957585
marginal_loss_price_da,confidential,1.0,1.0,True,0.9951805
total_gen,confidential,1.0,1.0,True,0.9950133
metered_load_mw,confidential,1.0,1.0,True,0.9948256
net_actual_interchange_mw,confidential,1.0,1.0,True,0.9943268
da_as_total_mw_thirty_minutes_reserve,confidential,1.0,1.0,True,0.99310863
gross_actual_interchange_mw,confidential,1.0,1.0,True,0.9930374
total_losses,confidential,1.0,1.0,True,0.99271554
net_inadv_interchange_mw,general,0.0,,False,0.9860513
gen_fuel_storage_mw,general,0.0,,False,0.9704161
total_pjm_rmpcp_cr,general,0.0,,False,0.95828354
total_pjm_assigned_reg,general,0.0,,False,0.95726585
rmpcp,general,0.0,,False,0.956808
total_pjm_self_sched_reg,general,0.0,,False,0.943364
da_as_nsr_mw_primary_reserve,general,0.0,,False,0.93624234
total_pjm_reg_purchases,general,0.0,,False,0.9361903
forecast_load_mw_latest_available,general,0.0,0.9143514,True,0.9322672
total_pjm_loc_credit,general,0.0,,False,0.8845113
system_energy_price_da,general,0.0,0.8312529,True,0.8599019
gen_fuel_oil_pct,general,0.0,,False,0.820591
gen_fuel_hydro_pct,general,0.0,,False,0.8036202
gen_fuel_oil_mw,general,0.0,,False,0.7928545
gen_fuel_hydro_mw,general,0.0,,False,0.7907324
da_as_ss_mw_synchronized_reserve,general,0.0,,False,0.79065484
da_as_ss_mw_thirty_minutes_reserve,general,0.0,,False,0.7634508
gen_fuel_other_renewables_pct,general,0.0,,False,0.7548819
gen_fuel_gas_mw,general,0.0,0.7339229,True,0.74594706
da_as_ss_mw_primary_reserve,general,0.0,,False,0.7281622
forecast_load_mw_day_ahead,general,0.0,0.69979775,True,0.71491235
gen_fuel_solar_pct,general,0.0,,False,0.7040759
gen_fuel_solar_mw,general,0.0,,False,0.6963176
gen_fuel_multiple_fuels_pct,general,0.0,,False,0.6923165
gross_inadv_interchange_mw,general,0.0,,False,0.6881023
gen_fuel_multiple_fuels_mw,general,0.0,,False,0.68456525
gen_fuel_nuclear_pct,general,0.0,0.6543187,True,0.6679216
gen_fuel_coal_mw,general,0.0,,False,0.6656549
gen_fuel_coal_pct,general,0.0,,False,0.655002
gen_fuel_nuclear_mw,general,0.0,,False,0.6165066
gen_fuel_gas_pct,general,0.0,,False,0.61023015
da_as_mcp_synchronized_reserve,general,0.0,,False,0.5798883
gross_sched_interchange_mw,general,0.0,,False,0.5632265
gen_fuel_wind_pct,general,0.0,,False,0.52516186
gen_fuel_other_renewables_mw,general,0.0,,False,0.5082907
da_as_mcp_primary_reserve,general,0.0,,False,0.50140655
gen_fuel_wind_mw,general,0.0,,False,0.45452
da_as_as_req_mw_synchronized_reserve,general,0.0,0.4119666,True,0.42324907
da_as_as_req_mw_primary_reserve,general,0.0,0.41003218,True,0.4222825
da_as_as_req_mw_thirty_minutes_reserve,general,0.0,0.41714805,True,0.4173103
total_lmp_rt,general,0.0,0.42230332,True,0.4162889
rmccp,general,0.0,,False,0.3694943
marginal_loss_price_rt,general,0.0,0.35812065,True,0.3670543
total_pjm_rmccp_cr,general,0.0,,False,0.33944324
