,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,forecast_load_mw_day_ahead,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,da_as_ss_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw,net_actual_interchange_mw,gross_actual_interchange_mw,total_gen,metered_load_mw,total_losses,congestion_price_da,congestion_price_rt,marginal_loss_price_da,total_lmp_da,da_as_total_mw_primary_reserve,da_as_total_mw_synchronized_reserve,da_as_total_mw_thirty_minutes_reserve
gen_fuel_coal_mw,0.2,0.20135438,0.2,0.2,0.19981535,0.19861786,0.20015933,0.2,0.2,0.2,0.19948064,0.2,0.2,0.2,0.20046301,0.19879499,0.19971319,0.2,0.2,0.20037343,0.20056567,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19927338,0.20116322,0.20014149,0.2,0.2003988,0.19944535,0.2,0.19996485,0.20009059,0.20007525,0.20000452,0.2,0.2,0.2000012,0.19996487,0.2,0.2,0.2
gen_fuel_gas_mw,0.200105,0.2,0.19996682,0.19987474,0.20033377,0.19977406,0.2,0.2,0.2,0.19989832,0.20019671,0.20004189,0.2,0.2,0.20006962,0.19988854,0.19998237,0.2,0.19994347,0.1998211,0.19993973,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19990629,0.19990824,0.19990894,0.2,0.2,0.2,0.2,0.19970223,0.19975041,0.20031627,0.19993839,0.2,0.20009254,0.2,0.2,0.19994679,0.19993125,0.19993687,0.2,0.2,0.19996215,0.19997287,0.2,0.2000558,0.2
gen_fuel_hydro_mw,0.2,0.20012917,0.2,0.2,0.2,0.2000634,0.2,0.2,0.19987911,0.2,0.2,0.2,0.19979969,0.2,0.20030288,0.20003793,0.2,0.2,0.2,0.19984955,0.19983523,0.2,0.1999804,0.20010132,0.20008288,0.2,0.2,0.2,0.19998229,0.20023063,0.19980322,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19892971,0.20131797,0.2,0.2,0.2,0.2,0.2,0.2,0.19997881,0.19998273,0.2,0.2,0.2,0.19998397,0.19999747,0.2,0.2,0.2
gen_fuel_multiple_fuels_mw,0.2,0.19922876,0.2,0.2,0.2,0.20060718,0.2,0.2,0.2,0.20015146,0.2,0.20040339,0.2,0.19971421,0.20107996,0.2006277,0.20011018,0.2,0.20016032,0.19815181,0.19836274,0.2,0.2,0.2,0.2,0.2,0.2,0.20046939,0.20115526,0.2,0.2,0.2,0.2,0.2,0.19997029,0.19996181,0.19996424,0.2,0.20103827,0.19972543,0.19957548,0.2,0.2,0.2,0.2,0.2,0.20006976,0.20007636,0.2,0.2,0.20015092,0.2,0.20015559,0.2,0.2,0.20018224
gen_fuel_nuclear_mw,0.19612218,0.20534587,0.2,0.2,0.2,0.2,0.19848944,0.2,0.2,0.2,0.19493374,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20253119,0.20356116,0.2,0.2,0.2,0.2,0.1985895,0.2,0.2,0.2,0.2,0.2,0.19934082,0.19975659,0.19982961,0.2,0.2,0.2,0.19734555,0.2,0.2,0.2,0.2,0.19996972,0.20055763,0.20037355,0.19993559,0.20036536,0.20031922,0.20010969,0.2,0.2,0.2,0.2,0.20004854,0.2,0.20025378
gen_fuel_oil_mw,0.20095016,0.2004631,0.1992743,0.19890793,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20052902,0.2,0.19979313,0.20090793,0.20000032,0.2001351,0.2,0.20002753,0.1989473,0.19906138,0.20004877,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20005675,0.20035632,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20040603,0.2000058,0.19981821,0.2,0.2,0.2,0.2,0.2,0.2001163,0.20014139,0.2,0.2,0.2001488,0.20016424,0.20018746,0.2,0.2,0.20001294
gen_fuel_other_renewables_mw,0.19994418,0.2,0.2,0.2,0.19998851,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000838,0.2,0.2,0.19996136,0.1999627,0.2,0.2,0.2,0.2,0.20003116,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gen_fuel_solar_mw,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000012,0.2,0.2,0.2,0.2,0.2,0.2,0.20000039,0.2,0.20000653,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19999757,0.2,0.20000017,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gen_fuel_storage_mw,0.2,0.2,0.19993739,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19999197,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19998296,0.2,0.2,0.2,0.2,0.19998275,0.19997062,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19983412,0.20021859,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20009874,0.2,0.2,0.2
gen_fuel_wind_mw,0.2,0.19995855,0.2,0.20000103,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19998728,0.2,0.20001659,0.2,0.2,0.2,0.2,0.20001274,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
