field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.8137239813804626,-0.11587448135897693
gross_actual_interchange_mw,0.8759973140166133,0.5693604946136475,-0.30663681940296583
total_gen,0.99832719588513,0.9849186539649963,-0.013408541920133632
metered_load_mw,0.9962878493933236,0.9788396954536438,-0.0174481539396798
total_losses,0.9334742413917716,0.8271802067756653,-0.10629403461610631
congestion_price_da,0.6602494811248918,0.5552718639373779,-0.10497761718751386
congestion_price_rt,0.6702083206524372,0.35112154483795166,-0.3190867758144855
marginal_loss_price_da,0.8816090434068973,0.7444287538528442,-0.13718028955405304
total_lmp_da,0.99047564583207,0.912467360496521,-0.07800828533554904
da_as_total_mw_primary_reserve,0.953601669814596,0.9477855563163757,-0.00581611349822031
da_as_total_mw_synchronized_reserve,0.920000100798808,0.9150785207748413,-0.0049215800239666985
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.8358385562896729,-0.07830516153165079
