target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.20013927,0.19980554,0.19981603,0.20029078,0.19994837
gross_actual_interchange_mw,0.19999988,0.20000018,0.20000006,0.2000002,0.19999972
total_gen,0.19714214,0.19421178,0.20229565,0.21120243,0.19514804
metered_load_mw,0.191022,0.19079813,0.20206484,0.22516175,0.19095327
total_losses,0.18605193,0.188817,0.18512774,0.25514308,0.1848603
congestion_price_da,0.2011569,0.20425627,0.20594478,0.19271232,0.19592968
congestion_price_rt,0.18171658,0.20495482,0.2013966,0.19742717,0.21450475
marginal_loss_price_da,0.21171983,0.19161884,0.19297306,0.20321727,0.20047095
total_lmp_da,0.27059168,0.16408166,0.18723464,0.19245984,0.18563211
da_as_total_mw_primary_reserve,0.21072695,0.19340084,0.18634583,0.21040949,0.19911686
da_as_total_mw_synchronized_reserve,0.19426793,0.18907861,0.19377682,0.22724172,0.19563499
da_as_total_mw_thirty_minutes_reserve,0.21212882,0.200021,0.19802144,0.1847253,0.20510338
