组,目标,τ,已公开字段,字段数,无基底关键,基底下关键,新增关键,解除关键,M2平均变化,M2上升字段,M2下降字段,违反M3上界,估计关键召回,估计关键精确,新增关键召回,余量005关键召回,余量005关键精确,余量005新增召回,M2估计误差
pjm_load,Y_metered_load_mw,0.5,rmccp,21,21,21,0,0,-0.03431591019034386,1,20,0,1.0,1.0,,1.0,1.0,,0.03175798058509827
pjm_load,Y_metered_load_mw,0.5,rmpcp,21,21,21,0,0,-0.02711900696158409,1,20,0,1.0,1.0,,1.0,1.0,,0.0347793884575367
pjm_load,Y_metered_load_mw,0.5,total_pjm_reg_purchases,21,21,21,0,0,-0.05886644497513771,0,21,0,1.0,1.0,,1.0,1.0,,0.03326507657766342
pjm_load,Y_metered_load_mw,0.5,total_pjm_self_sched_reg,21,21,21,0,0,0.004015234299004078,10,7,0,1.0,1.0,,1.0,1.0,,0.0420047901570797
pjm_load,Y_metered_load_mw,0.5,total_pjm_assigned_reg,21,21,21,0,0,-0.010609089396893978,1,17,0,1.0,1.0,,1.0,1.0,,0.03768349438905716
pjm_load,Y_metered_load_mw,0.5,da_as_mcp_primary_reserve,21,21,21,0,0,-0.04705978184938431,3,17,0,1.0,1.0,,1.0,1.0,,0.040692273527383804
pjm_load,Y_metered_load_mw,0.5,da_as_mcp_synchronized_reserve,21,21,21,0,0,-0.054873887449502945,3,18,0,0.9523809523809523,1.0,,1.0,1.0,,0.03823389485478401
pjm_load,Y_metered_load_mw,0.5,da_as_as_req_mw_primary_reserve,21,21,21,0,0,-0.032757144421339035,9,12,0,0.9523809523809523,1.0,,0.9523809523809523,1.0,,0.04886777698993683
pjm_load,Y_metered_load_mw,0.5,da_as_as_req_mw_thirty_minutes_reserve,21,21,21,0,0,-0.03933153301477432,0,14,0,1.0,1.0,,0.9523809523809523,1.0,,0.03568273410201073
pjm_load,Y_metered_load_mw,0.5,da_as_ss_mw_primary_reserve,21,21,21,0,0,-0.03252487629652023,1,20,0,1.0,1.0,,1.0,1.0,,0.030200092121958733
pjm_load,Y_metered_load_mw,0.5,da_as_nsr_mw_primary_reserve,21,21,21,0,0,-0.108690045773983,0,21,0,1.0,1.0,,1.0,1.0,,0.04178997501730919
pjm_load,Y_metered_load_mw,0.5,system_energy_price_da,21,21,21,0,0,-0.1438261717557907,1,20,0,1.0,1.0,,0.0,0.0,,0.028622545301914215
pjm_load,Y_metered_load_mw,0.5,total_lmp_rt,21,21,21,0,0,-0.12174810469150543,0,21,0,1.0,1.0,,1.0,1.0,,0.029125621542334557
pjm_load,Y_metered_load_mw,0.5,marginal_loss_price_rt,21,21,21,0,0,-0.13158558309078217,1,20,0,1.0,1.0,,1.0,1.0,,0.029391612857580185
pjm_load,Y_metered_load_mw,0.5,gross_sched_interchange_mw,21,21,21,0,0,-0.006900670472532511,10,9,0,1.0,1.0,,1.0,1.0,,0.046909332275390625
pjm_load,Y_metered_load_mw,0.5,congestion_price_da,21,21,21,0,0,-0.10471341758966446,0,21,0,1.0,1.0,,1.0,1.0,,0.03326723724603653
pjm_load,Y_metered_load_mw,0.5,marginal_loss_price_da,21,21,21,0,0,-0.11107290536165237,0,21,0,1.0,1.0,,1.0,1.0,,0.030289962887763977
pjm_load,Y_metered_load_mw,0.5,total_lmp_da,21,21,21,0,0,-0.1523270159959793,1,20,0,1.0,1.0,,0.0,0.0,,0.02865630015730858
pjm_load,Y_metered_load_mw,0.5,congestion_price_rt,21,21,21,0,0,-0.05816122889518738,3,18,0,1.0,1.0,,1.0,1.0,,0.03372827172279358
pjm_load,Y_metered_load_mw,0.5,da_as_total_mw_primary_reserve,21,21,21,0,0,-0.0666469931602478,0,21,0,0.9523809523809523,1.0,,0.9047619047619048,1.0,,0.03391589596867561
pjm_load,Y_metered_load_mw,0.5,da_as_total_mw_synchronized_reserve,21,21,21,0,0,-0.11094043403863907,0,21,0,1.0,1.0,,0.9523809523809523,1.0,,0.0644984319806099
