target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,13,2.5442891120910645,0.991945164410217
gross_actual_interchange_mw,15,2.6359617710113525,0.9733799506148311
total_gen,33,3.3766438961029053,0.9657190315603658
metered_load_mw,29,3.258101463317871,0.9675720898365375
total_losses,21,2.9731762409210205,0.9765657181834559
congestion_price_da,12,2.4685206413269043,0.9934057850976036
congestion_price_rt,12,2.375481605529785,0.9559641227297007
marginal_loss_price_da,22,3.038057804107666,0.9828586471877525
total_lmp_da,38,3.5450029373168945,0.9745481705878123
da_as_total_mw_primary_reserve,15,2.53597354888916,0.9364573625174997
da_as_total_mw_synchronized_reserve,13,2.3765087127685547,0.9265324111975931
da_as_total_mw_thirty_minutes_reserve,21,3.003830671310425,0.9866344337263528
