字段名称,聚合推断能力q_i
gen_fuel_coal_mw,0.6487491130828857
gen_fuel_gas_mw,0.7227729558944702
gen_fuel_hydro_mw,0.21505053341388702
gen_fuel_multiple_fuels_mw,0.08407822996377945
gen_fuel_nuclear_mw,0.31237173080444336
gen_fuel_oil_mw,0.3977866768836975
gen_fuel_other_renewables_mw,0.2261824607849121
gen_fuel_solar_mw,0.03553133085370064
gen_fuel_storage_mw,0.12527132034301758
gen_fuel_wind_mw,0.10727225244045258
gen_fuel_coal_pct,0.24378055334091187
gen_fuel_gas_pct,0.07820231467485428
gen_fuel_hydro_pct,0.15802179276943207
gen_fuel_multiple_fuels_pct,0.16666541993618011
gen_fuel_nuclear_pct,0.6443355679512024
gen_fuel_oil_pct,0.36003267765045166
gen_fuel_other_renewables_pct,0.2866985499858856
gen_fuel_solar_pct,0.07132752984762192
gen_fuel_storage_pct,0.0
gen_fuel_wind_pct,0.03609907999634743
forecast_load_mw_latest_available,0.9238477945327759
forecast_load_mw_day_ahead,0.8716468214988708
rmccp,0.0
rmpcp,0.0
total_pjm_loc_credit,0.02184324339032173
total_pjm_reg_purchases,0.03887343406677246
total_pjm_self_sched_reg,0.0
total_pjm_assigned_reg,0.0
total_pjm_rmccp_cr,0.0
total_pjm_rmpcp_cr,0.022500742226839066
da_as_mcp_primary_reserve,0.2150885909795761
da_as_mcp_synchronized_reserve,0.19885428249835968
da_as_mcp_thirty_minutes_reserve,0.0
da_as_as_req_mw_primary_reserve,0.49309059977531433
da_as_as_req_mw_synchronized_reserve,0.4945293366909027
da_as_as_req_mw_thirty_minutes_reserve,0.49370983242988586
da_as_ss_mw_primary_reserve,0.03932463005185127
da_as_ss_mw_synchronized_reserve,0.047194793820381165
da_as_ss_mw_thirty_minutes_reserve,0.041469816118478775
da_as_ircmwt2_primary_reserve,0.0
da_as_ircmwt2_synchronized_reserve,0.0
da_as_ircmwt2_thirty_minutes_reserve,0.0
da_as_nsr_mw_primary_reserve,0.48547014594078064
system_energy_price_da,0.8192704319953918
total_lmp_rt,0.34965500235557556
marginal_loss_price_rt,0.32510361075401306
net_inadv_interchange_mw,0.002756336936727166
gross_sched_interchange_mw,0.051369525492191315
gross_inadv_interchange_mw,0.06615367531776428
