general_field,mask_norm,single_norm,attn_norm,ig_norm,lrp_norm,shapley_norm
gen_fuel_coal_mw,1.0,1.0,0.4500632477219911,1.0,1.0,1.0
gen_fuel_gas_mw,0.6590240178230247,0.1189207392563435,1.0,0.3301241,0.31048337,0.4641355793958997
gen_fuel_hydro_mw,0.0,0.0,0.1543109984034739,0.0,0.0,0.0
gen_fuel_multiple_fuels_mw,0.0,0.0,0.190947561342044,0.0,0.0,0.0
gen_fuel_nuclear_mw,0.0,0.0,0.4491860001858863,0.0,0.0,0.0
gen_fuel_oil_mw,0.0,0.0,0.31279548316947453,0.0,0.0,0.0
gen_fuel_other_renewables_mw,0.0,0.0,0.10256276754439238,0.0,0.0,0.0
gen_fuel_solar_mw,0.0971886312830386,0.0006103902222749611,0.10025051698548798,0.12557603,0.101341225,0.06661862588031171
gen_fuel_storage_mw,0.04771258345715519,0.015819688086738098,0.167509128528339,0.04848376,0.08635905,0.07780058713500243
gen_fuel_wind_mw,0.0,0.0,0.015857237058097023,0.0,0.0,0.0
gen_fuel_coal_pct,0.6313105012882617,0.0016202318409626881,0.2801152314567695,0.48495725,0.41757676,0.29540233086431605
gen_fuel_gas_pct,0.0,0.0,0.11699775227062156,0.0,0.0,0.0
gen_fuel_hydro_pct,0.0,0.0,0.12328502938532285,0.0,0.0,0.0
gen_fuel_multiple_fuels_pct,0.0,0.0,0.17064598103375794,0.0,0.0,0.0
gen_fuel_nuclear_pct,0.6732234058496577,0.7859312443927116,0.47317632585281344,0.19420755,0.3825611,0.7498241443541356
gen_fuel_oil_pct,0.3276066430766513,0.18116636495935826,0.3108591605602221,0.112646185,0.22797874,0.30909921379069943
gen_fuel_other_renewables_pct,0.0,0.0,0.2387931358827013,0.0,0.0,0.0
gen_fuel_solar_pct,0.0,0.0,0.06871549743564546,0.0,0.0,0.0
gen_fuel_wind_pct,0.0,0.0,0.06617737442668599,0.0,0.0,0.0
forecast_load_mw_latest_available,0.0,0.0,0.7051399447117156,0.0,0.0,0.0
forecast_load_mw_day_ahead,0.0,0.0,0.6795841885333589,0.0,0.0,0.0
rmccp,0.0564721137736553,0.02599178532239843,0.1708131197748474,0.022810752,0.046021048,0.06425276347520961
rmpcp,0.0,0.0,0.013867250146157814,0.0,0.0,0.0
total_pjm_loc_credit,0.004383308335746127,0.0,0.04976042230202467,0.009471674,0.021552023,0.001346059025274317
total_pjm_reg_purchases,0.0,0.0,0.11805330546871605,0.0,0.0,0.0
total_pjm_self_sched_reg,0.0,0.0,0.00984043363924111,0.0,0.0,0.0
total_pjm_assigned_reg,0.0,0.0,0.09183080895064788,0.0,0.0,0.0
total_pjm_rmccp_cr,0.0,0.0,0.14562579682423077,0.0,0.0,0.0
total_pjm_rmpcp_cr,0.0,0.0,0.07470941739081285,0.0,0.0,0.0
da_as_mcp_primary_reserve,0.0,0.0,0.3067724755328468,0.0,0.0,0.0
da_as_mcp_synchronized_reserve,0.0,0.0,0.3238894540114415,0.0,0.0,0.0
da_as_as_req_mw_primary_reserve,0.0,0.0,0.40460348583166844,0.0,0.0,0.0
da_as_as_req_mw_synchronized_reserve,0.0,0.0,0.4136599016314528,0.0,0.0,0.0
da_as_as_req_mw_thirty_minutes_reserve,0.0,0.0,0.3831373996845431,0.0,0.0,0.0
da_as_ss_mw_primary_reserve,0.017559863707025575,0.0,0.01588024467324988,0.028470121,0.027724765,0.015210722950084821
da_as_ss_mw_synchronized_reserve,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ss_mw_thirty_minutes_reserve,0.0,0.0,0.0,0.0,0.0,0.0
da_as_nsr_mw_primary_reserve,0.0,0.0,0.20609841012252172,0.0,0.0,0.0
system_energy_price_da,0.0,0.0,0.6284682523579812,0.0,0.0,0.0
total_lmp_rt,0.0,0.0,0.41940489588736046,0.0,0.0,0.0
marginal_loss_price_rt,0.0,0.0,0.4617908339508068,0.0,0.0,0.0
net_inadv_interchange_mw,0.0,0.0,0.0,0.0,0.0,0.0
gross_sched_interchange_mw,0.1577506970946304,0.04563748080670292,0.22326087232893693,0.06868989,0.10415979,0.13173548182281122
gross_inadv_interchange_mw,0.0,0.0,0.34588313422140704,0.0,0.0,0.0
