confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.99017024,0.9962878493933236,-0.0061175823
total_gen,0.9887752,0.99832719588513,-0.009552002
total_lmp_da,0.9838142,0.99047564583207,-0.0066614747
da_as_total_mw_primary_reserve,0.9501701,0.953601669814596,-0.0034315586
da_as_total_mw_synchronized_reserve,0.91829973,0.920000100798808,-0.0017003417
total_losses,0.8838369,0.9334742413917716,-0.049637318
da_as_total_mw_thirty_minutes_reserve,0.8835931,0.9141437178213236,-0.030550659
net_actual_interchange_mw,0.86908334,0.9295984627394396,-0.060515106
marginal_loss_price_da,0.8437799,0.8816090434068973,-0.0378291
gross_actual_interchange_mw,0.8264662,0.8759973140166133,-0.049531102
congestion_price_da,0.6738569,0.6602494811248918,0.013607442
congestion_price_rt,0.67257714,0.6702083206524372,0.0023688078
