source,target,raw_weight,normalized_weight,pearson,spearman,kendall,nmi,distance_corr
da_as_ss_mw_synchronized_reserve,da_as_ss_mw_thirty_minutes_reserve,1.0,0.1768912672996521,1.0,1.0,1.0,1.0,1.0
da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,1.0,0.10427890717983246,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,1.0,0.16374115645885468,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,1.0,0.1768912672996521,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_primary_reserve,da_as_ss_mw_thirty_minutes_reserve,1.0,0.16374115645885468,1.0,1.0,1.0,1.0,1.0
da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_primary_reserve,1.0,0.10427454113960266,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,1.0,0.18156181275844574,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_thirty_minutes_reserve,da_as_ss_mw_synchronized_reserve,1.0,0.18156181275844574,1.0,1.0,1.0,1.0,1.0
forecast_load_mw_day_ahead,forecast_load_mw_latest_available,0.9839276671409607,0.05922021344304085,0.9966243505477905,0.9960758686065674,0.9459701776504517,0.9853906035423279,0.9945434331893921
forecast_load_mw_latest_available,forecast_load_mw_day_ahead,0.9839276671409607,0.05739535391330719,0.9966243505477905,0.9960758686065674,0.9459701776504517,0.9853906035423279,0.9945434331893921
total_lmp_da,system_energy_price_da,0.9805607795715332,0.05962091684341431,0.992979884147644,0.9901285171508789,0.9288402199745178,1.0,0.9882221817970276
system_energy_price_da,total_lmp_da,0.9805607795715332,0.06065014749765396,0.992979884147644,0.9901285171508789,0.9288402199745178,1.0,0.9882221817970276
metered_load_mw,forecast_load_mw_latest_available,0.9746935963630676,0.05665735900402069,0.9962494969367981,0.9960373640060425,0.9439201951026917,0.9445571303367615,0.9938987493515015
forecast_load_mw_latest_available,metered_load_mw,0.9746935963630676,0.056856703013181686,0.9962494969367981,0.9960373640060425,0.9439201951026917,0.9445571303367615,0.9938987493515015
da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,0.969533383846283,0.10109764337539673,0.988761842250824,0.966266393661499,0.8975130319595337,1.0,0.990790843963623
da_as_as_req_mw_thirty_minutes_reserve,da_as_as_req_mw_synchronized_reserve,0.969533383846283,0.10656332224607468,0.988761842250824,0.966266393661499,0.8975130319595337,1.0,0.990790843963623
rmccp,total_pjm_rmccp_cr,0.9694472551345825,0.08807973563671112,0.990893542766571,0.9798863530158997,0.8897860646247864,1.0,0.9823554158210754
total_pjm_rmccp_cr,rmccp,0.9694472551345825,0.07506081461906433,0.990893542766571,0.9798863530158997,0.8897860646247864,1.0,0.9823554158210754
