method,mean,median,std
K0_forward,0.32550472766160965,0.32389257103204727,0.006957265167887191
onegrad_1024_including_r32_r128_r320_and_query,2.548539713025093,2.4804268032312393,0.17485560420921378
onegrad_256_including_r32_r128_r320_and_query,4.722092896699905,2.575863152742386,15.15574885315074
full_K1_cumulative,3.1763525009155273,2.9247031211853027,3.291226625442505
full_K5_cumulative,13.492532730102539,12.730731010437012,3.6704819202423096
full_K25_cumulative,57.69040298461914,54.872337341308594,8.01955795288086
lora_r4_K1_lr0.001,4.888435217731907,3.9389040321111004,14.171344044897202
lora_r4_K1_lr0.005,4.6072207941148475,3.747709095478,12.366861672960015
lora_r4_K1_lr0.01,4.801652198676706,3.7581268697977,15.390076843635576
lora_r4_K1_lr0.02,4.244136842831208,3.9158295840024,8.789651511914833
lora_r4_K1_lr0.05,4.263151309253471,3.8965232670307,9.123024690038738
lora_r4_K1_lr0.1,4.250418867242016,3.9227567613124,8.870036651874443
lora_r4_K1_lr0.2,4.100711040369141,3.6168526858091,8.911571325323534
lora_r4_K5_lr0.001,16.865911357213157,15.903010964393598,14.234570221874872
lora_r4_K5_lr0.005,16.01959661175947,14.9840451776981,12.431040965762397
lora_r4_K5_lr0.01,16.206756303872933,15.0598064064979,15.440821908093861
lora_r4_K25_lr0.001,69.65890543035803,68.74278374016279,15.106510875698731
lora_r4_K25_lr0.005,65.64793195923991,63.907284289598394,12.699970406943063
lora_r4_K25_lr0.01,66.16395483811898,64.6024644374847,16.12641069518449
lora_r16_K1_lr0.001,3.9773599753879965,3.9549060165882,0.4732976495557331
lora_r16_K1_lr0.005,3.7861622738304868,3.7305951118469,0.30632552603597185
lora_r16_K1_lr0.01,3.805556998679096,3.7533808499574004,0.29098319094458663
lora_r16_K1_lr0.02,3.8417916349957726,3.9187781512737,0.3734608211025813
lora_r16_K1_lr0.05,3.847044778371996,3.9303842931985,0.3757337820986415
lora_r16_K1_lr0.1,3.868633563670894,3.9205681532621,0.4572807153967539
lora_r16_K1_lr0.2,3.711264444952643,3.622256219387,0.4042689965193491
lora_r16_K5_lr0.001,15.954283486253955,16.0041712224483,1.36734450286399
lora_r16_K5_lr0.005,15.201063838297463,15.0066614151,1.010181264173269
lora_r16_K5_lr0.01,15.274157546259216,15.0205101817846,1.090367746232023
lora_r16_K25_lr0.001,68.48403382775314,68.5238391160965,5.472193382766013
lora_r16_K25_lr0.005,64.94017824019434,63.9835391193628,3.041169120455714
lora_r16_K25_lr0.01,65.26300460564863,64.5032674074173,3.4759027050217237
