label,method,rank,direct_mae,direct_bias,direct_spearman,syn2_mae,syn2_spearman,syn2_maxconf_spearman,syn2_recall30,syn2_nstrong,syn3_mae,syn3_spearman,syn3_maxconf_spearman,syn3_recall30,syn3_nstrong
Oracle K0,full_K0,0,0.08225777269237572,-0.08215708529783619,0.9348193920677992,0.020707871417204538,0.6573195702992437,0.8645858343337334,0.65,20,0.03217999968263838,0.37990238374160945,0.28596832453459303,0.5,32
Full K1,full_K1,0,0.08110529846615261,-0.08102285348706775,0.934670664848736,0.019366180797417958,0.661889781417796,0.9175030012004801,0.65,20,0.029562028249104817,0.466183916980611,0.34487357599333157,0.53125,32
Full K5,full_K5,0,0.06886755381193425,-0.06882946255306403,0.9491022883217858,0.016811164120833076,0.7681733979500917,0.9380552220888354,0.65,20,0.025957466496361627,0.49285120252058273,0.36326757432620177,0.5,32
Full K25,full_K25,0,0.047661202566491236,-0.04748327723807759,0.9704310460330206,0.012501886586348217,0.8420024894791721,0.9335414165666266,0.7,20,0.02063930042915874,0.6877073129642096,0.6493470408446792,0.5625,32
Projection ceiling r32,projected_teacher,32,0.07317103611098395,-0.07304048637549082,0.942217244653471,0.01922302653392156,0.7216886713574204,0.8986794717887154,0.65,20,0.030812454803122415,0.3834258488106799,0.3279799944429009,0.53125,32
Projection ceiling r128,projected_teacher,128,0.06303054400616222,-0.06291791415876813,0.9524161719918866,0.016602307160695398,0.7684367456576268,0.9176950780312124,0.65,20,0.027338776654667326,0.4924670315079054,0.3570436232286747,0.53125,32
Projection ceiling r320,projected_teacher,320,0.060551258838839,-0.06044167329867681,0.9557104394713254,0.015655803382396697,0.7895435820655057,0.9365186074429772,0.7,20,0.026630826873911752,0.5203595750249004,0.39872186718532937,0.53125,32
Selected one-grad (v),gradmask_1024,192,0.0698714855644438,-0.06980970948934555,0.946013999843146,0.01961759070555369,0.7491131364253788,0.9243217286914766,0.65,20,0.029786231617132824,0.45477401299300035,0.33870519588774667,0.53125,32
Selected one-grad (syn3),gradmask_1024,320,0.07309578139748839,-0.07299689778851139,0.9480036309656872,0.019657947123050686,0.7483646899019163,0.9137575030012004,0.6,20,0.028305454883310537,0.4518407511382863,0.4018894137260351,0.5,32
Selected LoRA K1 (v),lora_lr0.005_K1,16,0.07332054206894503,-0.07324380042652288,0.9447612832291421,0.018047909140586852,0.7481507565951602,0.9070348139255701,0.65,20,0.0285543384651343,0.47806869867666846,0.3514309530425119,0.53125,32
Selected LoRA K1 (syn3),lora_lr0.01_K1,16,0.07614431045949459,-0.07609863359895018,0.9420515682925243,0.020082032283147176,0.6751825155129151,0.884561824729892,0.65,20,0.028243877821498446,0.500771449700355,0.424228952486802,0.53125,32
Selected LoRA all-K (v),lora_lr0.005_K25,16,0.043170851096510886,-0.042974281517995726,0.9813923115758383,0.013268324335416156,0.8568279911888643,0.9306602641056423,0.7,20,0.018502769370873768,0.7559600809415141,0.7235898860794667,0.5625,32
